id,event,w_ee_21_slg,pc01,pc02,pc03,pc04,pc09,pc15,start,stop
AK,0,0.0,3.209901835634116,3.0924427305262414,1.720308244460011,0.7526219617507015,1.7816121897883088,1.5354191574990956,0.0,1.0
AK,0,0.0,3.2234198322812184,3.0872211662630273,1.7058361806876838,0.6431281893837288,1.80966896929411,1.4985757605384455,1.0,2.0
AK,0,0.0,3.1983268765305666,3.059681713080859,1.7242931280315332,0.7567304924502044,1.772899529480419,1.3924394605293668,2.0,3.0
AK,0,0.0,3.0934620302798463,2.899848405701143,1.3149699746093855,0.9753440897103862,1.7544273699663022,0.711650554561371,3.0,4.0
AK,0,0.0,3.0564613999022576,2.867482920545116,1.3643239736329267,0.9525542964239299,1.716583543085137,0.7769127344424541,4.0,5.0
AK,0,0.0,3.0811636931858013,2.7908866853870253,1.6362679181577742,0.6928393838225257,1.7074653436311553,1.3114367664520956,5.0,6.0
AK,0,0.0,2.900133476632492,2.511209325915945,0.7203832275881079,1.1923711709402633,1.6936927361493048,0.2036617496271991,6.0,7.0
AK,0,0.0,3.1041499237390764,2.7610510811946867,1.3158110850593576,0.9182431084791348,1.758904946809461,0.9532802900235889,7.0,8.0
AK,0,0.0,2.8917949139330656,2.604481223671444,1.3377831419433859,1.0585008574347912,1.558943497445397,1.2942625627276525,8.0,9.0
AK,0,0.0,2.944122610258125,2.6427310377178244,1.335444961540355,1.0641960645695008,1.6139283225850862,0.9389728410487374,9.0,10.0
AK,0,0.0,2.8840782875678554,2.6270168500433715,1.5512827536603706,0.956322648493012,1.5327629298092451,1.3079358741223202,10.0,11.0
AK,0,0.0,2.660288755039238,2.4056988110103923,1.1455947135447655,1.274434262426838,1.410283667067605,1.0022020447503568,11.0,12.0
AK,0,0.0,2.572006672470087,2.341501795131964,0.9908283125717254,1.3399601931560294,1.3601557398982382,1.2776914636106163,12.0,13.0
AK,0,0.0,2.50687207971037,2.283471594950566,0.8380847794713281,1.4127399975493111,1.351444406172392,1.126585274664588,13.0,14.0
AK,0,0.0,2.5744852005771515,2.298614284375782,0.638143009358372,1.5447439953937412,1.4057404851915003,0.6429936751060682,14.0,15.0
AK,0,0.0,2.553866043520412,2.358579636282879,0.8482418841019851,1.4224332671397892,1.3714766004304428,1.0552078194785883,15.0,16.0
AK,0,0.0,2.506943606364193,2.376605564339382,1.1766633116506209,1.212366241945144,1.2958880709192795,1.8160829253278679,16.0,17.0
AK,0,0.0,2.060613111006255,2.082248076593745,1.481084057302971,1.1732995656264333,0.8709402268707218,2.728216475375908,17.0,18.0
AK,0,0.0,2.084013225374931,2.012818917906768,0.9343655851147826,1.4614982281076234,0.9701900128155371,1.7742370387277595,18.0,19.0
AK,0,0.0,2.025512186580755,1.9817966974849939,0.8546225501393006,1.4451355930364378,0.9478025578610635,2.058184388872474,19.0,20.0
AK,0,0.0,1.8402335077887153,2.1118023550225837,1.1091543168336186,1.2015026782113092,1.0348127926640263,2.3488123813668937,20.0,21.0
AK,0,0.0,2.059363020554772,2.0274150092296015,0.9871683915045348,1.4294465848019748,1.0111185576956756,1.4977212464017315,21.0,22.0
AK,0,0.0,1.8303974720546579,1.9812952894090137,1.2489330636208098,1.256102290501997,0.8655688603543025,2.4052025418541816,22.0,23.0
AK,0,0.0,1.801091881987316,1.90888028476419,1.4265709381659837,1.184252673245287,0.7655743789837819,2.702785184574156,23.0,24.0
AK,0,0.0211782306919733,1.9292921353031651,1.9089947872174127,1.6994568076452508,1.0149616705752698,0.7132945097224758,3.04476531267407,24.0,25.0
AK,0,0.0211955929808063,1.9549329246513667,1.9336649500315641,2.0732210010434526,0.7813224638189266,0.7321194916997777,3.418415234522682,25.0,26.0
AK,0,0.0517999283018431,1.9338817752472985,2.1602499825768606,2.247775112035644,0.47657107015647676,0.9600193257198536,3.2719418506599207,26.0,27.0
AK,0,0.0694901824521765,2.1179246171437205,2.1660114750735873,2.4703317707783197,0.45694671183432517,0.9253826174023787,3.074329052776983,27.0,28.0
AK,0,0.1441856346891796,2.1607094074343633,2.331674728495818,2.601507541172613,0.3171343047613882,1.0831871163651987,2.80808494498275,28.0,29.0
AK,0,0.2491893467692391,2.067919642120146,2.047397806495243,2.406806626772907,0.6703713861646475,0.8457828347702184,2.5286640435353918,29.0,30.0
