id,event,w_mgpo_21_sln,pc01,pc03,pc06,pc08,pc09,pc10,start,stop
AK,0,0.0,3.209901835634116,1.720308244460011,-0.43006816570259804,-0.9786967700221173,1.7816121897883088,-0.4459540960575375,0.0,1.0
AK,0,0.0,3.2234198322812184,1.7058361806876838,-0.44337576713776744,-0.9121226809482955,1.80966896929411,-0.5162209285158416,1.0,2.0
AK,0,0.0,3.1983268765305666,1.7242931280315332,-0.48893476462486946,-0.9679047666031068,1.772899529480419,-0.40549954552615236,2.0,3.0
AK,0,0.0,3.0934620302798463,1.3149699746093855,-0.6835111892378404,-0.9065905304778129,1.7544273699663022,-0.8020517350901689,3.0,4.0
AK,0,0.0,3.0564613999022576,1.3643239736329267,-0.6664412376443931,-0.9074558802379123,1.716583543085137,-0.7871007468493015,4.0,5.0
AK,0,0.0,3.0811636931858013,1.6362679181577742,-0.45046160310990674,-1.1412203733325663,1.7074653436311553,-0.5569106315220033,5.0,6.0
AK,0,0.0,2.900133476632492,0.7203832275881079,-0.7906241914217171,-0.9956658899245393,1.6936927361493048,-1.4286324963702284,6.0,7.0
AK,0,0.0,3.1041499237390764,1.3158110850593576,-0.6119545181277741,-1.0907850271562922,1.758904946809461,-0.7065946429541416,7.0,8.0
AK,0,0.0,2.8917949139330656,1.3377831419433859,-0.4977627705475078,-1.156310849440893,1.558943497445397,-0.8250863134597409,8.0,9.0
AK,0,0.0,2.944122610258125,1.335444961540355,-0.570198256720821,-1.1922699898277525,1.6139283225850862,-0.7645989033988093,9.0,10.0
AK,0,0.0,2.8840782875678554,1.5512827536603706,-0.43871854154694173,-1.2319479569483571,1.5327629298092451,-0.6738514840440022,10.0,11.0
AK,0,0.0,2.660288755039238,1.1455947135447655,-0.5904822188805127,-1.282769571578533,1.410283667067605,-1.109084355800921,11.0,12.0
AK,0,0.0,2.572006672470087,0.9908283125717254,-0.7204803784071534,-1.4530172498862681,1.3601557398982382,-1.1030483048594548,12.0,13.0
AK,0,0.0,2.50687207971037,0.8380847794713281,-0.8349064723191607,-1.5129502052439578,1.351444406172392,-1.2579823371790768,13.0,14.0
AK,0,0.0,2.5744852005771515,0.638143009358372,-0.9770034754913228,-1.5731483989389972,1.4057404851915003,-1.1570108616455477,14.0,15.0
AK,0,0.0,2.553866043520412,0.8482418841019851,-0.9218620303277363,-1.566632171426802,1.3714766004304428,-1.0492488034065675,15.0,16.0
AK,0,0.0,2.506943606364193,1.1766633116506209,-0.7353870014634205,-1.5806162435711877,1.2958880709192795,-0.9192673649818145,16.0,17.0
AK,0,0.0,2.060613111006255,1.481084057302971,-0.3844135856406708,-1.751947893059795,0.8709402268707218,-1.0911088870622017,17.0,18.0
AK,0,0.0,2.084013225374931,0.9343655851147826,-0.6609456823984983,-1.662398038387557,0.9701900128155371,-1.45997871358309,18.0,19.0
