id,event,w4_electric_decoupling_21_slp,start,stop
AK,0,0.0,0.0,12.0
AK,0,0.004232535744075,12.0,13.0
AK,0,0.0604925003435794,13.0,14.0
AK,0,0.0604925003435794,14.0,20.0
AK,0,0.0710532053805573,20.0,21.0
AK,0,0.0906084594985643,21.0,22.0
AK,0,0.116322621790378,22.0,23.0
AK,0,0.1243306169312471,23.0,29.0
AK,0,0.2203617379437242,29.0,30.0
AK,0,0.3317503424596861,30.0,31.0
AK,0,0.619998550753974,31.0,32.0
AK,0,0.6874628652429856,32.0,33.0
AK,0,0.7475858495206692,33.0,37.0
AK,0,0.7722181167006158,37.0,38.0
AK,0,0.801094903383465,38.0,39.0
AK,0,0.801094903383465,39.0,40.0
AK,0,0.8087043942557687,40.0,41.0
AL,1,0.0,0.0,11.0
AR,0,0.0,0.0,12.0
AR,0,0.0610512822483236,12.0,13.0
AR,0,0.0730016471218736,13.0,14.0
AR,0,0.0730016471218736,14.0,20.0
AR,0,0.0854496006736599,20.0,21.0
AR,0,0.0931211100889286,21.0,22.0
AR,0,0.1532728056742377,22.0,23.0
AR,0,0.1865257888554724,23.0,29.0
AR,0,0.3365414551760937,29.0,30.0
AR,1,0.4593711520653678,30.0,31.0
AZ,0,0.0,0.0,12.0
AZ,0,0.0969141552221057,12.0,13.0
AZ,0,0.1063495442608134,13.0,14.0
AZ,0,0.1063495442608134,14.0,20.0
AZ,0,0.1244620875178498,20.0,21.0
AZ,0,0.1249114474469508,21.0,22.0
AZ,0,0.1370304316308085,22.0,23.0
AZ,1,0.1370304316308085,23.0,26.0
CA,1,0.0,0.0,11.0
CO,0,0.0,0.0,12.0
CO,0,0.0570096868741917,12.0,13.0
CO,0,0.0700223741174745,13.0,14.0
CO,0,0.0700223741174745,14.0,20.0
CO,0,0.0705675061980613,20.0,21.0
CO,0,0.098891989515439,21.0,22.0
CO,0,0.110414478780073,22.0,23.0
CO,1,0.1257531135649053,23.0,29.0
CT,0,0.0,0.0,12.0
CT,0,0.0671056473801796,12.0,13.0
CT,0,0.114790469079531,13.0,14.0
CT,1,0.114790469079531,14.0,19.0
DE,0,0.0,0.0,12.0
DE,0,0.1370836722700187,12.0,13.0
DE,0,0.1528858312408459,13.0,14.0
DE,0,0.1528858312408459,14.0,20.0
DE,0,0.1579950508636784,20.0,21.0
DE,0,0.1643011958963263,21.0,22.0
DE,0,0.1968036904953416,22.0,23.0
DE,0,0.2788490082237448,23.0,29.0
DE,0,0.5163508516956574,29.0,30.0
DE,0,0.658453490701652,30.0,31.0
DE,0,0.7763835183711367,31.0,32.0
DE,0,0.8084722288532419,32.0,33.0
DE,0,0.8143791414211121,33.0,37.0
DE,0,0.8460785265108342,37.0,38.0
DE,0,0.9081092754074372,38.0,39.0
DE,0,0.9081092754074372,39.0,40.0
DE,0,0.9269189318285808,40.0,41.0
FL,0,0.0,0.0,12.0
FL,0,0.0587202922154705,12.0,13.0
FL,0,0.0724186089820632,13.0,14.0
FL,0,0.0724186089820632,14.0,20.0
FL,0,0.0802719131560841,20.0,21.0
FL,0,0.1377864349743929,21.0,22.0
FL,0,0.1550440941109504,22.0,23.0
FL,1,0.1873940091363442,23.0,29.0
GA,0,0.0,0.0,12.0
GA,0,0.0507340162039528,12.0,13.0
GA,0,0.054568186302149,13.0,14.0
GA,0,0.054568186302149,14.0,20.0
GA,0,0.0651405255005976,20.0,21.0
GA,0,0.066616424672654,21.0,22.0
GA,0,0.1090003731502862,22.0,23.0
GA,0,0.1138360605923802,23.0,29.0
GA,0,0.2633051528840476,29.0,30.0
