id,event,w4_environment_state_rps_21_slp,start,stop
AK,0,0.0274901289674411,0.0,18.0
AK,0,0.0339308693862817,18.0,19.0
AK,0,0.0774368149785408,19.0,20.0
AK,0,0.1734371173564594,20.0,21.0
AK,0,0.2352348335995736,21.0,22.0
AK,0,0.2540446579461086,22.0,26.0
AK,0,0.3538677327388269,26.0,27.0
AK,0,0.3693865148503634,27.0,28.0
AK,0,0.3895204763211079,28.0,29.0
AK,0,0.4839541949764596,29.0,30.0
AK,0,0.5135025416037179,30.0,31.0
AK,0,0.5494639485660021,31.0,32.0
AK,0,0.5713128525383516,32.0,41.0
AL,0,0.0268726071034159,0.0,18.0
AL,0,0.0371980523683583,18.0,19.0
AL,0,0.0406654443465231,19.0,20.0
AL,0,0.0412483710093995,20.0,21.0
AL,0,0.1012939529999847,21.0,22.0
AL,0,0.1324303148816336,22.0,26.0
AL,0,0.2127870757947,26.0,27.0
AL,0,0.2478744633781139,27.0,28.0
AL,0,0.2771675763672863,28.0,29.0
AL,0,0.4111299081092218,29.0,30.0
AL,0,0.4714405268555383,30.0,31.0
AL,0,0.5941358720347016,31.0,32.0
AL,0,0.6135595632965084,32.0,41.0
AR,0,0.0092120947546309,0.0,18.0
AR,0,0.0363098798250836,18.0,19.0
AR,0,0.0718678679043728,19.0,20.0
AR,0,0.1003929364817324,20.0,21.0
AR,0,0.1207969465304165,21.0,22.0
AR,0,0.1919845165591363,22.0,26.0
AR,0,0.2658016162364737,26.0,27.0
AR,0,0.3254551274894209,27.0,28.0
AR,0,0.3337824125634488,28.0,29.0
AR,0,0.4822663048787602,29.0,30.0
AR,0,0.4953579133838145,30.0,31.0
AR,0,0.5246297206833835,31.0,32.0
AR,0,0.5801975168581672,32.0,41.0
AZ,1,0.0493900633307267,0.0,17.0
CA,0,0.0209073084099907,0.0,18.0
CA,0,0.0528680434031805,18.0,19.0
CA,0,0.1265569178965588,19.0,20.0
CA,0,0.151711124526475,20.0,21.0
CA,0,0.2128998831191143,21.0,22.0
CA,1,0.2128998831191143,22.0,23.0
CO,0,0.0472987031164892,0.0,18.0
CO,0,0.0617579731428197,18.0,19.0
CO,0,0.1155129555744301,19.0,20.0
CO,0,0.1544418787820209,20.0,21.0
CO,0,0.1786392783865503,21.0,22.0
CO,0,0.1786392783865503,22.0,24.0
CO,1,0.229300197740902,24.0,25.0
CT,0,0.0083516783405845,0.0,18.0
CT,1,0.0224355138139387,18.0,19.0
DE,0,0.0402142107630857,0.0,18.0
DE,0,0.1060870435728554,18.0,19.0
DE,0,0.1737386128906723,19.0,20.0
DE,0,0.2058530233578389,20.0,21.0
DE,0,0.2736083108320076,21.0,22.0
DE,1,0.2994384561173636,22.0,26.0
FL,0,0.0402236326353824,0.0,18.0
FL,0,0.060122510818757,18.0,19.0
FL,0,0.1233004917878839,19.0,20.0
FL,0,0.1311707975786058,20.0,21.0
FL,0,0.1494876185078628,21.0,22.0
FL,0,0.2013634625215204,22.0,26.0
FL,0,0.3097500049797472,26.0,27.0
FL,0,0.3236733462629789,27.0,28.0
FL,0,0.3283164533935522,28.0,29.0
FL,0,0.4109253732336326,29.0,30.0
FL,0,0.4822930357598841,30.0,31.0
FL,0,0.5360625523373356,31.0,32.0
FL,0,0.5468083965667775,32.0,41.0
GA,0,0.0162186545310165,0.0,18.0
GA,0,0.0182110484104605,18.0,19.0
GA,0,0.1030733971155824,19.0,20.0
GA,0,0.1291819661509226,20.0,21.0
GA,0,0.1455906783298146,21.0,22.0
GA,0,0.192174506879364,22.0,26.0
GA,0,0.3713876150484603,26.0,27.0
GA,0,0.4822318273764052,27.0,28.0
GA,0,0.4925824536067093,28.0,29.0
GA,0,0.5646015099147462,29.0,30.0
GA,0,0.6032263946258626,30.0,31.0
GA,0,0.6162462757140449,31.0,32.0
GA,0,0.6522733982587154,32.0,41.0
HI,0,0.0476437600894395,0.0,18.0
HI,0,0.0688453539074122,18.0,19.0
HI,0,0.0813545579738126,19.0,20.0
HI,0,0.0994917757200039,20.0,21.0
HI,0,0.1113553288196124,21.0,22.0
HI,0,0.1113553288196124,22.0,24.0
HI,1,0.1747672976077547,24.0,25.0
IA,1,0.0,0.0,3.0
ID,0,0.1007291590500028,0.0,18.0
ID,0,0.114258274291933,18.0,19.0
ID,0,0.1693333379178427,19.0,20.0
ID,0,0.1826603513135535,20.0,21.0
ID,0,0.2222715148164403,21.0,22.0
ID,0,0.2406452071509149,22.0,26.0
ID,0,0.3380431110692694,26.0,27.0
ID,0,0.3901972155419181,27.0,28.0
ID,0,0.4230718188512631,28.0,29.0
ID,0,0.5779351872788772,29.0,30.0
ID,0,0.6403238908489487,30.0,31.0
ID,0,0.6986722991877918,31.0,32.0
ID,0,0.7078919985851413,32.0,41.0
IL,0,0.0233323446921756,0.0,18.0
IL,0,0.0865009291442128,18.0,19.0
IL,0,0.101012141029713,19.0,20.0
IL,0,0.1501599384258027,20.0,21.0
IL,0,0.1650741554060746,21.0,22.0
IL,0,0.1882061830960782,22.0,26.0
IL,0,0.3641586324119697,26.0,27.0
IL,1,0.3962100580591438,27.0,28.0
IN,0,0.0103205561529053,0.0,18.0
IN,0,0.0162883152618202,18.0,19.0
IN,0,0.0273362212906039,19.0,20.0
IN,0,0.1731191920495761,20.0,21.0
IN,0,0.2078438913408112,21.0,22.0
IN,0,0.2180164004268113,22.0,26.0
IN,0,0.2712671837974761,26.0,27.0
IN,0,0.2861332056094896,27.0,28.0
IN,0,0.2900984271080252,28.0,29.0
IN,0,0.3535481318698933,29.0,30.0
IN,0,0.4906333755001038,30.0,31.0
IN,0,0.5124452055521703,31.0,32.0
IN,0,0.5348744736823058,32.0,41.0
KS,0,0.0024300333779308,0.0,18.0
KS,0,0.0240208054043701,18.0,19.0
KS,0,0.0519248800345225,19.0,20.0
KS,0,0.1114398309460297,20.0,21.0
KS,0,0.1603201247148599,21.0,22.0
KS,0,0.193087187973874,22.0,26.0
KS,0,0.2595983334318753,26.0,27.0
KS,0,0.2688651510824258,27.0,28.0
KS,0,0.3252516161335094,28.0,29.0
KS,1,0.3967968623580886,29.0,30.0
KY,0,0.0514035501161164,0.0,18.0
KY,0,0.0595335042748336,18.0,19.0
KY,0,0.111068789729186,19.0,20.0
KY,0,0.1188864720342594,20.0,21.0
KY,0,0.1702027293548837,21.0,22.0
KY,0,0.2947375059710413,22.0,26.0
KY,0,0.388495282795666,26.0,27.0
KY,0,0.4448210302508872,27.0,28.0
KY,0,0.4452506174009538,28.0,29.0
KY,0,0.5356116289095524,29.0,30.0
KY,0,0.6152872273241853,30.0,31.0
KY,0,0.6302939752589239,31.0,32.0
KY,0,0.6356457471705983,32.0,41.0
LA,0,0.0577439533309816,0.0,18.0
LA,0,0.0682687160794632,18.0,19.0
LA,0,0.1335679257148831,19.0,20.0
LA,0,0.1364943624557364,20.0,21.0
LA,0,0.1471301268382146,21.0,22.0
LA,0,0.1493921432675458,22.0,26.0
