id,event,w4_gas_decoupling_21_slp,pc01,pc02,pc03,pc05,pc08,pc13,start,stop
AK,0,0.0,3.209901835634116,3.0924427305262414,1.720308244460011,2.4394312315930735,-0.9786967700221173,2.000799205980041,0.0,1.0
AK,0,0.0,3.2234198322812184,3.0872211662630273,1.7058361806876838,2.402650176548411,-0.9121226809482955,1.978694845921243,1.0,2.0
AK,0,0.0,3.1983268765305666,3.059681713080859,1.7242931280315332,2.4405505919570336,-0.9679047666031068,1.9466034632978413,2.0,3.0
AK,0,0.0,3.0934620302798463,2.899848405701143,1.3149699746093855,1.9835478126181545,-0.9065905304778129,2.881302279395363,3.0,4.0
AK,0,0.0,3.0564613999022576,2.867482920545116,1.3643239736329267,1.9706924088635687,-0.9074558802379123,2.6119710364184456,4.0,5.0
AK,0,0.0,3.0811636931858013,2.7908866853870253,1.6362679181577742,2.108264634225003,-1.1412203733325663,1.4558301014842097,5.0,6.0
AK,0,0.0,2.900133476632492,2.511209325915945,0.7203832275881079,1.1803881480563734,-0.9956658899245393,3.2456603814554987,6.0,7.0
AK,0,0.0,3.1041499237390764,2.7610510811946867,1.3158110850593576,1.9595034955589021,-1.0907850271562922,2.0309492638181146,7.0,8.0
AK,0,0.0,2.8917949139330656,2.604481223671444,1.3377831419433859,1.7239071162721722,-1.156310849440893,1.2828287926485304,8.0,9.0
AK,0,0.0,2.944122610258125,2.6427310377178244,1.335444961540355,1.779974991750932,-1.1922699898277525,1.9389914090209415,9.0,10.0
AK,0,0.0,2.8840782875678554,2.6270168500433715,1.5512827536603706,1.8432299287824234,-1.2319479569483571,1.2497672745015127,10.0,11.0
AK,0,0.0,2.660288755039238,2.4056988110103923,1.1455947135447655,1.250763176035966,-1.282769571578533,1.95955081421133,11.0,12.0
AK,0,0.0372146685195631,2.572006672470087,2.341501795131964,0.9908283125717254,0.945001486462065,-1.4530172498862681,2.2380403458858864,12.0,13.0
AK,0,0.0372146685195631,2.50687207971037,2.283471594950566,0.8380847794713281,0.7233768698188061,-1.5129502052439578,2.9118682743874618,13.0,14.0
AK,0,0.0372146685195631,2.5744852005771515,2.298614284375782,0.638143009358372,0.6084132748150308,-1.5731483989389972,3.6570373662597198,14.0,15.0
AK,0,0.0372146685195631,2.553866043520412,2.358579636282879,0.8482418841019851,0.7518951967601649,-1.566632171426802,3.2687567191034175,15.0,16.0
AK,0,0.0372146685195631,2.506943606364193,2.376605564339382,1.1766633116506209,0.9431365471195242,-1.5806162435711877,2.0750568768875803,16.0,17.0
AK,0,0.0372146685195631,2.060613111006255,2.082248076593745,1.481084057302971,0.48671071498095503,-1.751947893059795,0.34990538806785965,17.0,18.0
AK,0,0.0372146685195631,2.084013225374931,2.012818917906768,0.9343655851147826,0.11598780958147378,-1.662398038387557,1.9065254378745147,18.0,19.0
AK,0,0.0372146685195631,2.025512186580755,1.9817966974849939,0.8546225501393006,-0.08631532930480988,-1.7775774011004815,2.1269598399165406,19.0,20.0
AK,0,0.047775373556541,1.8402335077887153,2.1118023550225837,1.1091543168336186,0.9761979134931276,-2.21059649531075,0.9895291956600779,20.0,21.0
AK,0,0.067330627674548,2.059363020554772,2.0274150092296015,0.9871683915045348,0.19528257679457026,-1.7512082802919795,2.8044705093856686,21.0,22.0
AK,0,0.0930447899663617,1.8303974720546579,1.9812952894090137,1.2489330636208098,0.39574052856331404,-2.0175546338380883,1.3034695512922125,22.0,23.0
AK,0,0.0930447899663617,1.801091881987316,1.90888028476419,1.4265709381659837,0.10346869838335279,-1.865931154319218,1.3560654217484287,23.0,24.0
AK,0,0.0930447899663617,1.9292921353031651,1.9089947872174127,1.6994568076452508,-0.14182307070943082,-1.572412914446404,1.1666612829169059,24.0,25.0
AK,0,0.1447296799793556,1.9549329246513667,1.9336649500315641,2.0732210010434526,0.3294275774635947,-1.8201187078063201,0.15437390179502797,25.0,26.0
AK,0,0.1447296799793556,1.9338817752472985,2.1602499825768606,2.247775112035644,1.5130120900957997,-2.169224679320299,-0.5003000258354587,26.0,27.0
AK,0,0.1579703901407869,2.1179246171437205,2.1660114750735873,2.4703317707783197,1.288706959835883,-1.8291591982470181,-0.23177519862104853,27.0,28.0
AK,0,0.185460519108228,2.1607094074343633,2.331674728495818,2.601507541172613,2.0518462728382927,-2.033309848226325,-0.37647511475580286,28.0,29.0
AK,0,0.255562338643066,2.067919642120146,2.047397806495243,2.406806626772907,1.0112531539043306,-1.6735825300454812,0.40939006831939656,29.0,30.0
AK,0,0.4077378488567851,2.1381659614180446,2.0752009457257574,2.382609730451576,1.053588390481511,-1.5655635994663815,1.2025662144643998,30.0,31.0
AK,0,0.4931774461977258,2.070052242075146,2.10404088638179,2.6421522150093,1.409323901959032,-1.6377776868921563,0.38402759981097223,31.0,32.0
AK,0,0.5319893211109924,2.0995218558415516,2.0521986238881795,2.677078790859248,1.1904074015473358,-1.445961195900698,0.7732517764874126,32.0,33.0
