id,event,w_environment_solar_taxcred_slp,start,stop
GA,0,0.2337077153981401,2.0,3.0
GA,0,0.3446664648368761,3.0,4.0
GA,0,0.3777048974771069,4.0,16.0
GA,0,0.3829931062418974,16.0,17.0
GA,0,0.3849855001213414,17.0,18.0
GA,0,0.4028469021004168,18.0,21.0
GA,0,0.472803996199366,21.0,22.0
GA,0,0.5110878401911467,22.0,23.0
GA,0,0.5645246915560851,23.0,24.0
GA,0,0.5773423612712586,24.0,25.0
GA,0,0.5915192239335783,25.0,26.0
GA,0,0.5915192239335783,26.0,28.0
GA,1,0.6328053762511247,28.0,29.0
HI,0,0.1047424843263088,0.0,2.0
HI,0,0.1183435378968238,2.0,3.0
HI,0,0.142721226638531,3.0,4.0
HI,0,0.1534536501268256,4.0,16.0
HI,0,0.2037285719623456,16.0,17.0
HI,0,0.2249301657803184,17.0,18.0
HI,0,0.2376186382847966,18.0,21.0
HI,0,0.2993918360258827,21.0,22.0
HI,0,0.3179695313694069,22.0,23.0
HI,0,0.3458176069061616,23.0,24.0
HI,0,0.3958089072579059,24.0,25.0
HI,0,0.4126347351039558,25.0,26.0
HI,0,0.4126347351039558,26.0,28.0
HI,0,0.4144164556576432,28.0,29.0
HI,0,0.4455261131373502,29.0,30.0
HI,0,0.4711977872904953,30.0,31.0
HI,0,0.4779586282015547,31.0,32.0
HI,0,0.6030431729035505,32.0,33.0
HI,0,0.6501711648691852,33.0,41.0
IA,0,0.1836770104885333,0.0,2.0
IA,0,0.2303909626078759,2.0,3.0
IA,0,0.266104276144801,3.0,4.0
IA,0,0.3235010276890131,4.0,16.0
IA,0,0.3717621258716661,16.0,17.0
IA,0,0.3799284989726069,17.0,18.0
IA,0,0.3903968116844646,18.0,21.0
IA,0,0.4439165563051619,21.0,22.0
IA,0,0.4673698909136963,22.0,23.0
IA,0,0.525390312156052,23.0,24.0
IA,0,0.5276195458681514,24.0,25.0
IA,0,0.5307165409904023,25.0,26.0
IA,0,0.5307165409904023,26.0,28.0
IA,0,0.5332332715360857,28.0,29.0
IA,0,0.5454076036991568,29.0,30.0
IA,0,0.5529622216751547,30.0,31.0
IA,0,0.5705881643947256,31.0,32.0
IA,0,0.6075405658701114,32.0,33.0
IA,0,0.6273877595586783,33.0,41.0
ID,0,0.244906172654296,0.0,2.0
ID,0,0.3241517524958002,2.0,3.0
ID,0,0.398625420432406,3.0,4.0
ID,0,0.430602712250399,4.0,16.0
ID,0,0.4340831638515164,16.0,17.0
ID,0,0.4476122790934466,17.0,18.0
ID,0,0.4545501069879222,18.0,21.0
ID,0,0.4844010203720404,21.0,22.0
ID,0,0.4848251739491159,22.0,23.0
ID,0,0.524868901698219,23.0,24.0
ID,0,0.5372626056895203,24.0,25.0
ID,0,0.5553417060427033,25.0,26.0
ID,0,0.5553417060427033,26.0,28.0
ID,0,0.5566155155308671,28.0,29.0
ID,0,0.5994627135140084,29.0,30.0
ID,0,0.6455607265618197,30.0,31.0
ID,0,0.6784353298711646,31.0,32.0
ID,0,0.7218486066517116,32.0,33.0
ID,0,0.780779989006724,33.0,41.0
IL,0,0.1503231421356005,0.0,2.0
IL,0,0.1688823670041035,2.0,3.0
IL,0,0.2160036910621865,3.0,4.0
IL,0,0.2170635612415052,4.0,16.0
IL,0,0.2331434109580044,16.0,17.0
IL,0,0.2963119954100416,17.0,18.0
IL,0,0.296990364475044,18.0,21.0
IL,0,0.3457066333700947,21.0,22.0
IL,0,0.4138065011995488,22.0,23.0
IL,0,0.4658380885008453,23.0,24.0
IL,0,0.4802040818431527,24.0,25.0
IL,0,0.4904978524419809,25.0,26.0
IL,0,0.4904978524419809,26.0,28.0
IL,0,0.5161286992407292,28.0,29.0
IL,0,0.5495864802401239,29.0,30.0
IL,0,0.5982419415861898,30.0,31.0
IL,0,0.6002043496621187,31.0,32.0
IL,0,0.682117260184687,32.0,33.0
IL,0,0.7090873692439091,33.0,41.0
IN,0,0.0939310119093153,0.0,2.0
IN,0,0.0977083897123764,2.0,3.0
IN,0,0.1822601742210218,3.0,4.0
IN,0,0.2193610646560705,4.0,16.0
IN,0,0.2857440703015515,16.0,17.0
IN,0,0.2917118294104664,17.0,18.0
IN,0,0.302713547800175,18.0,21.0
IN,0,0.3387106262384758,21.0,22.0
IN,0,0.3471429307474821,22.0,23.0
IN,0,0.351489175015558,23.0,24.0
IN,0,0.3576986296225368,24.0,25.0
IN,0,0.3770489562071403,25.0,26.0
IN,0,0.3770489562071403,26.0,28.0
IN,0,0.4299560441064926,28.0,29.0
IN,0,0.4950262586767228,29.0,30.0
IN,0,0.5878267563370771,30.0,31.0
IN,0,0.5917919778356128,31.0,32.0
IN,0,0.6646936183804029,32.0,33.0
IN,0,0.7317026193913168,33.0,41.0
KS,0,0.1508690563145432,0.0,2.0
KS,0,0.1515789304182599,2.0,3.0
KS,0,0.1982481247926912,3.0,4.0
KS,0,0.2101166292898549,4.0,16.0
KS,0,0.2222964466471813,16.0,17.0
KS,0,0.2438872186736206,17.0,18.0
KS,0,0.2438872186736206,18.0,19.0
KS,1,0.2804219107216886,19.0,20.0
KY,0,0.2024195186518703,0.0,2.0
KY,0,0.2485722063066766,2.0,3.0
KY,0,0.3015015242941124,3.0,4.0
KY,0,0.304336796447377,4.0,16.0
KY,0,0.3307365946285087,16.0,17.0
KY,0,0.3388665487872259,17.0,18.0
KY,0,0.368736929517921,18.0,21.0
KY,0,0.4739241427805433,21.0,22.0
KY,0,0.4911505768159959,22.0,23.0
KY,0,0.522926586890735,23.0,24.0
KY,0,0.553509189111671,24.0,25.0
KY,0,0.5636138203707688,25.0,26.0
KY,1,0.5636138203707688,26.0,28.0
LA,0,0.1136975035521104,0.0,2.0
