id,event,pace_21_slp,start,stop
UT,1,0.3185154099924222,33.0,34.0
VA,0,0.0017973540416108,0.0,29.0
VA,1,0.0036392472741819,29.0,30.0
VT,0,0.0055647052989336,0.0,29.0
VT,1,0.031545078282398,29.0,30.0
WA,0,0.012044488127176,0.0,31.0
WA,0,0.1732277666703339,31.0,32.0
WA,0,0.3575322556547887,32.0,33.0
WA,0,0.3750827107974822,33.0,34.0
WA,0,0.4208112652264527,34.0,35.0
WA,0,0.4989775466749741,35.0,36.0
WA,0,0.5207446320167188,36.0,37.0
WA,0,0.566034151175303,37.0,38.0
WA,0,0.620603006135965,38.0,39.0
WA,0,0.6419730379694651,39.0,40.0
WA,1,0.7186613680650552,40.0,41.0
WI,1,0.0618270564207601,0.0,31.0
WV,0,0.0646235261729369,0.0,31.0
WV,0,0.2032269320122032,31.0,32.0
WV,0,0.4578625271916948,32.0,33.0
WV,0,0.4584460095707785,33.0,34.0
WV,0,0.5735469764861802,34.0,35.0
WV,0,0.5997511287695996,35.0,36.0
WV,0,0.6160013420003654,36.0,37.0
WV,0,0.6461169445212629,37.0,38.0
WV,0,0.6720782312101747,38.0,39.0
WV,0,0.6792959500988426,39.0,40.0
WV,0,0.7328029287464067,40.0,41.0
WY,0,0.0811806751622433,0.0,31.0
WY,0,0.2259665853076563,31.0,32.0
WY,0,0.388387218164071,32.0,33.0
WY,0,0.3887005587675323,33.0,34.0
WY,0,0.4708933781495246,34.0,35.0
WY,0,0.5682171199858884,35.0,36.0
WY,0,0.6116568528579934,36.0,37.0
WY,0,0.6601416704646832,37.0,38.0
WY,0,0.6666379459980478,38.0,39.0
WY,0,0.6970564991435696,39.0,40.0
WY,0,0.7243546830863001,40.0,41.0
