id,event,netmeter_yearadopted_21_slp,start,stop
IL,0,0.1424854039707181,15.0,19.0
IL,0,0.2115507962046392,19.0,20.0
IL,0,0.3266169243849086,20.0,21.0
IL,0,0.4102866614477258,21.0,22.0
IL,0,0.4102866614477258,22.0,23.0
IL,0,0.5530264402064393,23.0,24.0
IL,0,0.5587621478016264,24.0,25.0
IL,0,0.5748419975181255,25.0,26.0
IL,0,0.5861270469940353,26.0,27.0
IL,1,0.6402643080832269,27.0,28.0
IN,0,0.0,0.0,12.0
IN,0,0.0750123204123607,12.0,13.0
IN,0,0.0779025371555515,13.0,14.0
IN,0,0.1348487390501734,14.0,15.0
IN,0,0.1388117935291948,15.0,19.0
IN,0,0.1525559025190173,19.0,20.0
IN,0,0.2902843282616945,20.0,21.0
IN,0,0.3956112519946205,21.0,22.0
IN,0,0.3956112519946205,22.0,23.0
IN,0,0.4170530440246104,23.0,24.0
IN,1,0.4182080719199137,24.0,25.0
KS,0,0.0,0.0,12.0
KS,0,0.0129863712883017,12.0,13.0
KS,0,0.0328114574531559,13.0,14.0
KS,0,0.072551444958935,14.0,15.0
KS,0,0.0796638697250154,15.0,19.0
KS,0,0.0997834628475645,19.0,20.0
KS,0,0.257063513423118,20.0,21.0
KS,0,0.3469182356565936,21.0,22.0
KS,0,0.3469182356565936,22.0,23.0
KS,0,0.437817934614487,23.0,24.0
KS,0,0.4554361231402837,24.0,25.0
KS,0,0.4676159404976102,25.0,26.0
KS,0,0.553682315028294,26.0,27.0
KS,0,0.5989414368510089,27.0,28.0
KS,0,0.6071776829112164,28.0,29.0
KS,1,0.6765410513969707,29.0,30.0
KY,0,0.0,0.0,12.0
KY,0,0.0431947730837997,12.0,13.0
KY,0,0.0505654764666052,13.0,14.0
KY,0,0.0506472264372266,14.0,15.0
KY,0,0.1445994008324483,15.0,19.0
KY,0,0.1645940508424619,19.0,20.0
KY,0,0.2484445593891841,20.0,21.0
KY,0,0.4650267306048583,21.0,22.0
KY,0,0.4650267306048583,22.0,23.0
KY,0,0.4950905409040798,23.0,24.0
KY,0,0.4982933504898157,24.0,25.0
KY,1,0.5246931486709474,25.0,26.0
LA,0,0.0,0.0,12.0
LA,0,0.0621145049014546,12.0,13.0
LA,0,0.0677319928637111,13.0,14.0
LA,0,0.0693685167078162,14.0,15.0
LA,0,0.0706262252359566,15.0,19.0
LA,0,0.1387574921268536,19.0,20.0
LA,0,0.2478230703577048,20.0,21.0
LA,0,0.4447260185774201,21.0,22.0
LA,0,0.4447260185774201,22.0,23.0
LA,1,0.559832212224152,23.0,24.0
MA,0,0.0,0.0,12.0
MA,0,0.0602589108112025,12.0,13.0
MA,0,0.0664148401006883,13.0,14.0
MA,0,0.1150430467353808,14.0,15.0
MA,0,0.1176682996132575,15.0,19.0
MA,0,0.17671342043959,19.0,20.0
MA,0,0.294892872289719,20.0,21.0
MA,0,0.3959135324461304,21.0,22.0
MA,0,0.3959135324461304,22.0,23.0
MA,0,0.4595361952310487,23.0,24.0
MA,0,0.4872553725411746,24.0,25.0
MA,0,0.5208119531132834,25.0,26.0
MA,0,0.5699922896885988,26.0,27.0
MA,0,0.643604111749498,27.0,28.0
MA,1,0.6933327661360645,28.0,29.0
MD,0,0.0,0.0,12.0
MD,0,0.0462107699152457,12.0,13.0
MD,0,0.0466099614273974,13.0,14.0
MD,0,0.0472105494460158,14.0,15.0
MD,0,0.0472105494460158,15.0,17.0
MD,1,0.0722093569705916,17.0,18.0
ME,0,0.0,0.0,12.0
ME,0,0.0449175690015303,12.0,13.0
ME,0,0.0613402271336063,13.0,14.0
ME,0,0.0715166377045828,14.0,15.0
ME,1,0.0770907866482512,15.0,19.0
MI,0,0.0,0.0,12.0
MI,0,0.0584096871694209,12.0,13.0
MI,0,0.0702408055218767,13.0,14.0
MI,0,0.0998944100095867,14.0,15.0
MI,0,0.1251289453895169,15.0,19.0
MI,0,0.2576757168151079,19.0,20.0
MI,0,0.3347776103553649,20.0,21.0
MI,0,0.4633906089850904,21.0,22.0
MI,0,0.4633906089850904,22.0,23.0
MI,0,0.5677739336045347,23.0,24.0
MI,0,0.5980311591568626,24.0,25.0
MI,0,0.6105400795639079,25.0,26.0
MI,0,0.6578250284173359,26.0,27.0
MI,0,0.6894750199295206,27.0,28.0
MI,1,0.7189207723185732,28.0,29.0
MN,1,0.0,0.0,11.0
MO,0,0.0,0.0,12.0
MO,0,0.0891575782859125,12.0,13.0
MO,0,0.0979279287057586,13.0,14.0
MO,0,0.1234555966664039,14.0,15.0
MO,0,0.1439610785921398,15.0,19.0
MO,0,0.2328508198941331,19.0,20.0
MO,0,0.3335823606431315,20.0,21.0
MO,0,0.5167276379256636,21.0,22.0
MO,0,0.5167276379256636,22.0,23.0
MO,0,0.5305180701528928,23.0,24.0
MO,0,0.5456158090175683,24.0,25.0
MO,0,0.5594691571840291,25.0,26.0
MO,0,0.6106277086622602,26.0,27.0
MO,1,0.6888942643815922,27.0,28.0
MS,0,0.0,0.0,12.0
MS,0,0.0651113380702075,12.0,13.0
MS,0,0.1009397678448902,13.0,14.0
MS,0,0.1557229113729489,14.0,15.0
MS,0,0.1967485840390488,15.0,19.0
MS,0,0.2305818524036051,19.0,20.0
MS,0,0.3166974992257731,20.0,21.0
MS,0,0.5062835027017885,21.0,22.0
MS,0,0.5062835027017885,22.0,23.0
MS,0,0.5513562699452583,23.0,24.0
MS,0,0.5701895424163287,24.0,25.0
MS,0,0.573029180511462,25.0,26.0
MS,0,0.597621687113388,26.0,27.0
MS,0,0.6476370097919529,27.0,28.0
MS,0,0.6722984310971842,28.0,29.0
MS,0,0.6845404443497354,29.0,30.0
MS,0,0.738636992883193,30.0,31.0
MS,0,0.7946769546729409,31.0,32.0
MS,0,0.8225303693048575,32.0,33.0
MS,0,0.8727240383644098,33.0,41.0
MT,0,0.0,0.0,12.0
MT,0,0.0375392138454603,12.0,13.0
MT,0,0.0728456853145667,13.0,14.0
MT,0,0.1014338625278623,14.0,15.0
MT,0,0.1402137453978161,15.0,19.0
MT,1,0.1749837140625161,19.0,20.0
NC,0,0.0,0.0,12.0
NC,0,0.0791253903320211,12.0,13.0
NC,0,0.0793573487796753,13.0,14.0
NC,0,0.1113479403224733,14.0,15.0
NC,0,0.1518018259365272,15.0,19.0
NC,0,0.2001801016992035,19.0,20.0
NC,0,0.3118035287919084,20.0,21.0
NC,0,0.4003335879579386,21.0,22.0
NC,0,0.4003335879579386,22.0,23.0
NC,0,0.41714925455049,23.0,24.0
NC,0,0.4368592612845614,24.0,25.0
NC,1,0.4468248075379796,25.0,26.0
ND,1,0.0,0.0,12.0
NE,0,0.0,0.0,12.0
NE,0,0.1169020242471545,12.0,13.0
NE,0,0.1291031759637221,13.0,14.0
NE,0,0.1394004790922067,14.0,15.0
NE,0,0.1610274855076736,15.0,19.0
NE,0,0.2099897061753905,19.0,20.0
NE,0,0.3639789743350421,20.0,21.0
NE,0,0.4899989287211542,21.0,22.0
NE,0,0.4899989287211542,22.0,23.0
NE,0,0.5265813972885856,23.0,24.0
NE,0,0.5429578791267876,24.0,25.0
NE,0,0.6138518757099815,25.0,26.0
NE,0,0.6598868201120044,26.0,27.0
NE,0,0.7094774706552907,27.0,28.0
NE,0,0.7542392491410416,28.0,29.0
NE,1,0.8029427697565151,29.0,30.0
NH,0,0.0,0.0,12.0
NH,0,0.114615610119558,12.0,13.0
NH,0,0.1182327702628395,13.0,14.0
NH,0,0.1241307162763068,14.0,15.0
NH,1,0.1300688028275602,15.0,19.0
NJ,0,0.0,0.0,12.0
NJ,0,0.0316388484130537,12.0,13.0
NJ,0,0.0317031470904761,13.0,14.0
NJ,0,0.100519355842088,14.0,15.0
NJ,0,0.1422365094992873,15.0,19.0
NJ,1,0.2133203396137881,19.0,20.0
NM,0,0.0,0.0,12.0
NM,0,0.0326124372268533,12.0,13.0
NM,0,0.1123810120078818,13.0,14.0
NM,0,0.1297440186509785,14.0,15.0
NM,0,0.1470485315526671,15.0,19.0
NM,0,0.1885397172919924,19.0,20.0
NM,0,0.3391072830148295,20.0,21.0
NM,0,0.3711722720108075,21.0,22.0
NM,0,0.3711722720108075,22.0,23.0
NM,0,0.5280814804929216,23.0,24.0
NM,0,0.535476305812751,24.0,25.0
NM,0,0.5445032855622117,25.0,26.0
NM,0,0.5871655839107874,26.0,27.0
NM,0,0.7001483577772567,27.0,28.0
NM,1,0.7077787648592989,28.0,29.0
NV,0,0.0,0.0,12.0
NV,0,0.0634807865772929,12.0,13.0
NV,0,0.0683224419457311,13.0,14.0
NV,0,0.0836017994608061,14.0,15.0
NV,0,0.0836017994608061,15.0,17.0
NV,1,0.1085103740084621,17.0,18.0
NY,0,0.0,0.0,12.0
NY,0,0.0720898706358083,12.0,13.0
NY,0,0.1179880151822162,13.0,14.0
NY,0,0.1239251117803222,14.0,15.0
NY,1,0.1265776140174852,15.0,19.0
OH,0,0.0,0.0,12.0
OH,0,0.0252517448133762,12.0,13.0
OH,0,0.0265789206637136,13.0,14.0
OH,0,0.0395362171669597,14.0,15.0
OH,0,0.0428531442269857,15.0,19.0
OH,1,0.0531380066371355,19.0,20.0
OK,1,0.0,0.0,11.0
OR,0,0.0,0.0,12.0
OR,0,0.0689447092825104,12.0,13.0
OR,0,0.0833840962148374,13.0,14.0
OR,0,0.1071099290249482,14.0,15.0
OR,0,0.1297845624696486,15.0,19.0
OR,1,0.1428546591837552,19.0,20.0
PA,0,0.0,0.0,12.0
PA,0,0.0359187525192035,12.0,13.0
PA,0,0.0513994087321074,13.0,14.0
PA,0,0.0829047632067278,14.0,15.0
PA,0,0.0955514861715785,15.0,19.0
PA,0,0.1208324690885734,19.0,20.0
PA,0,0.1984044583746097,20.0,21.0
PA,0,0.2581412867117931,21.0,22.0
PA,0,0.2581412867117931,22.0,23.0
PA,0,0.3350332673602266,23.0,24.0
PA,1,0.3751324867774193,24.0,25.0
RI,0,0.0,0.0,12.0
RI,0,0.1742970045537455,12.0,13.0
