id,event,w4_gas_decoupling_21_slp,start,stop
OK,0,0.0619675310898658,20.0,21.0
OK,0,0.1084024726879817,21.0,22.0
OK,0,0.1633363273258548,22.0,23.0
OK,0,0.2081315106010654,23.0,27.0
OK,0,0.2455255701365426,27.0,28.0
OK,1,0.3089336786055514,28.0,29.0
OR,0,0.0387937799871986,0.0,20.0
OR,0,0.0467928760550308,20.0,21.0
OR,0,0.0890511875061286,21.0,22.0
OR,0,0.1482964714374728,22.0,23.0
OR,1,0.1482964714374728,23.0,24.0
PA,0,0.088362101193106,0.0,20.0
PA,0,0.104519738756228,20.0,21.0
PA,0,0.1187081548956363,21.0,22.0
PA,0,0.1274713822576122,22.0,23.0
PA,0,0.1277430243876161,23.0,27.0
PA,0,0.1434137967788789,27.0,28.0
PA,0,0.1655664775920776,28.0,29.0
PA,0,0.2503972853102371,29.0,30.0
PA,0,0.3986332085117429,30.0,31.0
PA,0,0.4301385629863632,31.0,32.0
PA,0,0.4767990540037842,32.0,33.0
PA,0,0.5952235133699049,33.0,34.0
PA,0,0.6156246854611557,34.0,35.0
PA,0,0.6291057498029262,35.0,36.0
PA,0,0.6291057498029262,36.0,38.0
PA,1,0.6447640452296133,38.0,39.0
RI,0,0.0469871064892352,0.0,20.0
RI,0,0.058985834413306,20.0,21.0
RI,0,0.0654817245023925,21.0,22.0
RI,0,0.0881608388572305,22.0,23.0
RI,0,0.0905688514352341,23.0,27.0
RI,1,0.1020522060774699,27.0,28.0
SC,0,0.0472641248058173,0.0,20.0
SC,0,0.0504684377163531,20.0,21.0
SC,0,0.0662417228993489,21.0,22.0
SC,0,0.1045615179853746,22.0,23.0
SC,0,0.1274771422362194,23.0,27.0
SC,0,0.1599115237295355,27.0,28.0
SC,0,0.2200894842032204,28.0,29.0
SC,0,0.3126979477088213,29.0,30.0
SC,1,0.5581702825140858,30.0,31.0
SD,0,0.0202100435922805,0.0,20.0
SD,0,0.0278051419029874,20.0,21.0
SD,0,0.0304689344159444,21.0,22.0
SD,0,0.0435561823932644,22.0,23.0
SD,0,0.0826935026342384,23.0,27.0
SD,0,0.1432422534826633,27.0,28.0
SD,1,0.1506484312704851,28.0,29.0
TN,0,0.0299121845063602,0.0,20.0
TN,0,0.0623121109398926,20.0,21.0
TN,0,0.0709992653570881,21.0,22.0
TN,0,0.1318077265561,22.0,23.0
TN,0,0.1515191701547212,23.0,27.0
TN,0,0.172663678349297,27.0,28.0
TN,0,0.2241517435154522,28.0,29.0
TN,0,0.3638257706942814,29.0,30.0
TN,1,0.5192035072340802,30.0,31.0
TX,0,0.0696941809433239,0.0,20.0
TX,0,0.0750352251124444,20.0,21.0
TX,0,0.0803644566030445,21.0,22.0
TX,0,0.1258338099215014,22.0,23.0
TX,0,0.1329355922129273,23.0,27.0
TX,0,0.1596562127955927,27.0,28.0
TX,0,0.2013864069839937,28.0,29.0
TX,0,0.3617317198944319,29.0,30.0
TX,0,0.4992533536695934,30.0,31.0
TX,0,0.5184045533368844,31.0,32.0
TX,0,0.5767384453850612,32.0,33.0
TX,0,0.6142325196619871,33.0,34.0
TX,0,0.669494605039732,34.0,35.0
TX,0,0.7226407277163285,35.0,36.0
TX,0,0.7302204550203302,36.0,40.0
TX,0,0.7559554911972319,40.0,41.0
UT,0,0.0065321938505414,0.0,20.0
UT,0,0.0093301620711685,20.0,21.0
UT,0,0.0280337564598177,21.0,22.0
UT,0,0.0596917935550002,22.0,23.0
UT,0,0.0642898632031153,23.0,27.0
UT,0,0.0920256355380259,27.0,28.0
UT,0,0.1925306876005321,28.0,29.0
UT,0,0.2713284804742372,29.0,30.0
UT,1,0.3769362080958675,30.0,31.0
VA,0,0.0678941762688823,0.0,20.0
VA,0,0.0944341738089202,20.0,21.0
VA,0,0.1304175337819412,21.0,22.0
VA,0,0.1580755055026604,22.0,23.0
VA,0,0.1753318221456138,23.0,27.0
VA,0,0.1925735987424781,27.0,28.0
VA,1,0.2129173367552833,28.0,29.0
VT,0,0.1108403315471568,0.0,20.0
VT,1,0.1231934315860214,20.0,21.0
WA,0,0.0547964984720836,0.0,20.0
WA,0,0.0723469536147772,20.0,21.0
WA,0,0.0889774921820401,21.0,22.0
WA,0,0.1539668552831459,22.0,23.0
WA,0,0.1757339406248905,23.0,27.0
WA,1,0.2250935881287923,27.0,28.0
WI,0,0.0220311508754089,0.0,20.0
WI,0,0.0359266807485873,20.0,21.0
WI,0,0.0442499758683713,21.0,22.0
WI,0,0.0692815196298842,22.0,23.0
WI,0,0.0801281929591761,23.0,27.0
WI,0,0.08465440454856,27.0,28.0
WI,0,0.1509281837509668,28.0,29.0
WI,1,0.2453399225572037,29.0,30.0
WV,0,0.0317567428583232,0.0,20.0
WV,0,0.0323402252374069,20.0,21.0
WV,0,0.0592907100498986,21.0,22.0
WV,0,0.0707120499946258,22.0,23.0
WV,0,0.0869622632253916,23.0,27.0
WV,0,0.1403945086338267,27.0,28.0
WV,0,0.2787137078621786,28.0,29.0
WV,0,0.3311551772999256,29.0,30.0
WV,0,0.5048127589824876,30.0,31.0
WV,0,0.5165019010282047,31.0,32.0
WV,0,0.5861463940997687,32.0,33.0
WV,0,0.6762321665043456,33.0,34.0
WV,0,0.6818669755676265,34.0,35.0
WV,0,0.683870277371009,35.0,36.0
WV,0,0.6877913100593543,36.0,40.0
WV,0,0.6921331787881047,40.0,41.0
WY,0,0.045970690243953,0.0,20.0
WY,0,0.0462840308474141,20.0,21.0
WY,0,0.0533521917334685,21.0,22.0
WY,0,0.0757643442891217,22.0,23.0
WY,0,0.1192040771612267,23.0,27.0
WY,0,0.1296865836567567,27.0,28.0
WY,0,0.2357003720359908,28.0,29.0
WY,0,0.3556123058340859,29.0,30.0
WY,0,0.4952734198893616,30.0,31.0
WY,0,0.5110439582765764,31.0,32.0
WY,1,0.5749898003896965,32.0,33.0
