id,event,w_ee_21_slp,start,stop
AK,0,0.0055377516436096,0.0,26.0
AK,0,0.0095927214654698,26.0,27.0
AK,0,0.0201534265024477,27.0,28.0
AK,0,0.1272942400361612,28.0,29.0
AK,0,0.2010111201136487,29.0,30.0
AK,0,0.2712490648847058,30.0,31.0
AK,0,0.4366494936589499,31.0,32.0
AK,0,0.4430902340777906,32.0,33.0
AK,0,0.4670171091775402,33.0,34.0
AK,0,0.4708823674970043,34.0,40.0
AK,0,0.4955146346769509,40.0,41.0
AL,0,0.0350171329936617,0.0,26.0
AL,0,0.054867057837699,26.0,27.0
AL,0,0.055077047362342,27.0,28.0
AL,0,0.0905375324399451,28.0,29.0
AL,0,0.1799044930357902,29.0,30.0
AL,0,0.294041095251875,30.0,31.0
AL,0,0.392972693120783,31.0,32.0
AL,0,0.4032981383857255,32.0,33.0
AL,0,0.4409861373500869,33.0,34.0
AL,0,0.4893624122828806,34.0,40.0
AL,0,0.5049538724726415,40.0,41.0
AR,0,0.008453645175134,0.0,26.0
AR,0,0.0625613246179092,26.0,27.0
AR,0,0.0750092781696955,27.0,28.0
AR,0,0.1055688763800787,28.0,29.0
AR,0,0.1932020088691177,29.0,30.0
AR,0,0.2681712249607993,30.0,31.0
AR,1,0.3182774148727942,31.0,32.0
AZ,0,0.0038511557487165,0.0,26.0
AZ,0,0.0276161889190129,26.0,27.0
AZ,0,0.0457287321760493,27.0,28.0
AZ,0,0.0751630776516989,28.0,29.0
AZ,0,0.2109163132952043,29.0,30.0
AZ,1,0.3165683026687387,30.0,31.0
CA,1,0.0244924681946859,0.0,25.0
CO,0,0.0111847123612466,0.0,26.0
CO,0,0.0418029726515166,26.0,27.0
CO,1,0.0423481047321033,27.0,28.0
CT,1,0.0009137838378657,0.0,26.0
DE,0,0.0519531285033413,0.0,26.0
DE,0,0.0749420222793972,26.0,27.0
DE,0,0.0800512419022296,27.0,28.0
DE,0,0.1742999880639084,28.0,29.0
