id,event,public_building_standards_slp,start,stop
WV,0,0.7393559813450686,30.0,31.0
WV,0,0.7929286989370073,31.0,32.0
WV,1,0.7957103130952943,32.0,33.0
WY,0,0.0,0.0,22.0
WY,0,0.0441503646784842,22.0,23.0
WY,0,0.162206208679319,23.0,24.0
WY,0,0.2443990280613113,24.0,25.0
WY,0,0.316027761178997,25.0,26.0
WY,0,0.3433259451217273,26.0,27.0
WY,0,0.4619417615784201,27.0,28.0
WY,0,0.5518466282990193,28.0,29.0
WY,0,0.6700969095360121,29.0,30.0
WY,0,0.728033547835989,30.0,31.0
WY,0,0.7849067102395118,31.0,32.0
WY,0,0.7912251402214097,32.0,33.0
WY,0,0.8131897053795736,33.0,34.0
WY,0,0.9011625345322392,34.0,35.0
WY,0,0.90888185220403,35.0,36.0
WY,0,0.90888185220403,36.0,41.0
