year,stateabbr,solar_capacity,total_capacity
1997,WY,0.0,6481.39
1998,WY,0.0,6389.22
1999,WY,0.0,6388.29
2000,WY,0.0,6532.0
2001,WY,0.0,6673.0
2002,WY,0.0,6743.0
2003,WY,0.0,6970.0
2004,WY,0.0,6970.0
2005,WY,0.0,7087.0
2006,WY,0.0,7087.0
2007,WY,0.0,7036.0
2008,WY,0.0,7524.0
2009,WY,0.0,7948.0
2010,WY,0.0,8379.0
2011,WY,0.0,8829.1
2012,WY,0.0,8834.2
2013,WY,0.0,8927.9
2014,WY,0.0,9406.1
2015,WY,0.0,9425.9
2016,WY,0.0,9480.2
2017,WY,0.0,9480.2
2018,WY,92.0,9609.1
2019,WY,92.0,9709.1
2020,WY,92.0,10728.1
2021,WY,92.0,11395.3
2022,WY,92.0,11391.4
