id,event,environment_utility_deregul_slp,pc01,pc02,pc03,pc07,pc11,pc13,start,stop
AK,0,0.0,3.209901835634116,3.0924427305262414,1.720308244460011,3.055146797005275,1.348170955332536,2.000799205980041,0.0,1.0
AK,0,0.0,3.2234198322812184,3.0872211662630273,1.7058361806876838,3.0607055975154696,1.4859773601167712,1.978694845921243,1.0,2.0
AK,0,0.0,3.1983268765305666,3.059681713080859,1.7242931280315332,3.118584112119785,1.3539993334160156,1.9466034632978413,2.0,3.0
AK,0,0.0,3.0934620302798463,2.899848405701143,1.3149699746093855,2.980117467380055,1.3743677406596249,2.881302279395363,3.0,4.0
AK,0,0.0,3.0564613999022576,2.867482920545116,1.3643239736329267,2.9828203370008746,1.3441228557109592,2.6119710364184456,4.0,5.0
AK,0,0.0,3.0811636931858013,2.7908866853870253,1.6362679181577742,2.938065463087122,1.6340953558341411,1.4558301014842097,5.0,6.0
AK,0,0.0,2.900133476632492,2.511209325915945,0.7203832275881079,2.5796070080312004,1.5873319337812548,3.2456603814554987,6.0,7.0
AK,0,0.0,3.1041499237390764,2.7610510811946867,1.3158110850593576,2.922903176787814,1.5639328444792795,2.0309492638181146,7.0,8.0
AK,0,0.0,2.8917949139330656,2.604481223671444,1.3377831419433859,2.7383595084165036,1.2270746984670737,1.2828287926485304,8.0,9.0
AK,0,0.0,2.944122610258125,2.6427310377178244,1.335444961540355,2.806397003201622,1.350229556412177,1.9389914090209415,9.0,10.0
AK,0,0.0,2.8840782875678554,2.6270168500433715,1.5512827536603706,2.787656351094092,1.287418396657848,1.2497672745015127,10.0,11.0
AK,0,0.0,2.660288755039238,2.4056988110103923,1.1455947135447655,2.5518968997905778,1.1053956008058372,1.95955081421133,11.0,12.0
AK,0,0.0,2.572006672470087,2.341501795131964,0.9908283125717254,2.5051500745235096,1.0561674271012234,2.2380403458858864,12.0,13.0
AK,0,0.0,2.50687207971037,2.283471594950566,0.8380847794713281,2.460684926833839,1.107721245318013,2.9118682743874618,13.0,14.0
AK,0,0.0,2.5744852005771515,2.298614284375782,0.638143009358372,2.4716864028965664,1.1350656668694916,3.6570373662597198,14.0,15.0
AK,0,0.0,2.553866043520412,2.358579636282879,0.8482418841019851,2.55158545843449,1.0734259234504617,3.2687567191034175,15.0,16.0
AK,0,0.0,2.506943606364193,2.376605564339382,1.1766633116506209,2.582337545824062,1.0109264336822528,2.0750568768875803,16.0,17.0
AK,0,0.0,2.060613111006255,2.082248076593745,1.481084057302971,2.1940391718949703,0.5860691552889812,0.34990538806785965,17.0,18.0
AK,0,0.0109203872109192,2.084013225374931,2.012818917906768,0.9343655851147826,2.1085404838393744,0.680921872670156,1.9065254378745147,18.0,19.0
AK,0,0.102403628407121,2.025512186580755,1.9817966974849939,0.8546225501393006,2.0790116139200525,0.7112846954783204,2.1269598399165406,19.0,20.0
AK,0,0.1461569856008794,1.8402335077887153,2.1118023550225837,1.1091543168336186,1.001725575860858,0.8281086934852604,0.9895291956600779,20.0,21.0
AK,0,0.1868511604730742,2.059363020554772,2.0274150092296015,0.9871683915045348,2.1372397817802997,0.874154435948211,2.8044705093856686,21.0,22.0
AK,0,0.2431111250725786,1.8303974720546579,1.9812952894090137,1.2489330636208098,1.6616667760398431,0.7180857355069358,1.3034695512922125,22.0,23.0
AK,0,0.2431111250725786,1.801091881987316,1.90888028476419,1.4265709381659837,2.0945288873999313,0.7241589115587087,1.3560654217484287,23.0,24.0
AK,0,0.2486488767161883,1.9292921353031651,1.9089947872174127,1.6994568076452508,2.844313541255469,0.7831160523955544,1.1666612829169059,24.0,25.0
AK,0,0.2486488767161883,1.9549329246513667,1.9336649500315641,2.0732210010434526,2.706606717259628,0.9834594062418212,0.15437390179502797,25.0,26.0
AK,0,0.2486488767161883,1.9338817752472985,2.1602499825768606,2.247775112035644,1.713433033256157,1.312841072622052,-0.5003000258354587,26.0,27.0
AK,0,0.2486488767161883,2.1179246171437205,2.1660114750735873,2.4703317707783197,2.543247596935873,1.3180827656868932,-0.23177519862104853,27.0,28.0
AK,0,0.2486488767161883,2.1607094074343633,2.331674728495818,2.601507541172613,2.0730857064546577,1.5110087162129318,-0.37647511475580286,28.0,29.0
AK,0,0.2806072485798885,2.067919642120146,2.047397806495243,2.406806626772907,2.7624016649698384,1.20863814286054,0.40939006831939656,29.0,30.0
