id,event,climate_action_plan_21_sln,pc01,pc03,pc08,pc09,pc12,pc13,start,stop
AK,0,0.0,3.209901835634116,1.720308244460011,-0.9786967700221173,1.7816121897883088,-0.5949995228367511,2.000799205980041,0.0,1.0
AK,0,0.0,3.2234198322812184,1.7058361806876838,-0.9121226809482955,1.80966896929411,-0.4814551873604233,1.978694845921243,1.0,2.0
AK,0,0.0,3.1983268765305666,1.7242931280315332,-0.9679047666031068,1.772899529480419,-0.6132659824466647,1.9466034632978413,2.0,3.0
AK,0,0.0,3.0934620302798463,1.3149699746093855,-0.9065905304778129,1.7544273699663022,-0.6698636335801852,2.881302279395363,3.0,4.0
AK,0,0.0,3.0564613999022576,1.3643239736329267,-0.9074558802379123,1.716583543085137,-0.5653822019851162,2.6119710364184456,4.0,5.0
AK,0,0.0,3.0811636931858013,1.6362679181577742,-1.1412203733325663,1.7074653436311553,-0.36862022895822266,1.4558301014842097,5.0,6.0
AK,0,0.0,2.900133476632492,0.7203832275881079,-0.9956658899245393,1.6936927361493048,-0.6023101877320932,3.2456603814554987,6.0,7.0
AK,0,0.0,3.1041499237390764,1.3158110850593576,-1.0907850271562922,1.758904946809461,-0.7564219547101687,2.0309492638181146,7.0,8.0
AK,0,0.0,2.8917949139330656,1.3377831419433859,-1.156310849440893,1.558943497445397,-0.4369319125638228,1.2828287926485304,8.0,9.0
AK,0,0.0,2.944122610258125,1.335444961540355,-1.1922699898277525,1.6139283225850862,-0.5642428455558568,1.9389914090209415,9.0,10.0
AK,0,0.0,2.8840782875678554,1.5512827536603706,-1.2319479569483571,1.5327629298092451,-0.26734958404052334,1.2497672745015127,10.0,11.0
AK,0,0.0,2.660288755039238,1.1455947135447655,-1.282769571578533,1.410283667067605,-0.23523758597856864,1.95955081421133,11.0,12.0
AK,0,0.0,2.572006672470087,0.9908283125717254,-1.4530172498862681,1.3601557398982382,0.06862559289495723,2.2380403458858864,12.0,13.0
AK,0,0.0,2.50687207971037,0.8380847794713281,-1.5129502052439578,1.351444406172392,0.015937491004825787,2.9118682743874618,13.0,14.0
AK,0,0.0,2.5744852005771515,0.638143009358372,-1.5731483989389972,1.4057404851915003,0.14922465319046893,3.6570373662597198,14.0,15.0
AK,0,0.0,2.553866043520412,0.8482418841019851,-1.566632171426802,1.3714766004304428,0.25207925927041863,3.2687567191034175,15.0,16.0
AK,0,0.0,2.506943606364193,1.1766633116506209,-1.5806162435711877,1.2958880709192795,0.45322160798824346,2.0750568768875803,16.0,17.0
AK,0,0.0,2.060613111006255,1.481084057302971,-1.751947893059795,0.8709402268707218,1.7377978796038198,0.34990538806785965,17.0,18.0
AK,0,0.0,2.084013225374931,0.9343655851147826,-1.662398038387557,0.9701900128155371,1.3510221697477907,1.9065254378745147,18.0,19.0
AK,0,0.0,2.025512186580755,0.8546225501393006,-1.7775774011004815,0.9478025578610635,1.559654475254651,2.1269598399165406,19.0,20.0
AK,0,0.0,1.8402335077887153,1.1091543168336186,-2.21059649531075,1.0348127926640263,1.8948638306706247,0.9895291956600779,20.0,21.0
AK,0,0.0,2.059363020554772,0.9871683915045348,-1.7512082802919795,1.0111185576956756,0.9900091289537563,2.8044705093856686,21.0,22.0
AK,0,0.0,1.8303974720546579,1.2489330636208098,-2.0175546338380883,0.8655688603543025,1.7828181356274633,1.3034695512922125,22.0,23.0
AK,0,0.0,1.801091881987316,1.4265709381659837,-1.865931154319218,0.7655743789837819,1.4998583745947849,1.3560654217484287,23.0,24.0
AK,0,0.0,1.9292921353031651,1.6994568076452508,-1.572412914446404,0.7132945097224758,1.2261798460489686,1.1666612829169059,24.0,25.0
AK,0,0.0,1.9549329246513667,2.0732210010434526,-1.8201187078063201,0.7321194916997777,1.2783744052118267,0.15437390179502797,25.0,26.0
AK,0,0.0,1.9338817752472985,2.247775112035644,-2.169224679320299,0.9600193257198536,1.554877038443506,-0.5003000258354587,26.0,27.0
AK,0,0.0,2.1179246171437205,2.4703317707783197,-1.8291591982470181,0.9253826174023787,1.0573687203728772,-0.23177519862104853,27.0,28.0
AK,1,0.0,2.1607094074343633,2.601507541172613,-2.033309848226325,1.0831871163651987,1.0594118238036507,-0.37647511475580286,28.0,29.0
AL,0,0.0,0.8524313750648893,-1.9415168857903595,-0.8192378497722532,0.3309107896288258,-1.4444547282117244,-0.1762263763573525,0.0,1.0
AL,0,0.0,0.8504892666396359,-1.940711812773341,-0.822228920110023,0.3296921613286044,-1.4524809771328664,-0.17877413005722903,1.0,2.0
AL,0,0.0,0.8072924128804944,-1.9021332197359107,-0.9741293668350033,0.2541318336866407,-1.7442913677390395,-0.17339016128890697,2.0,3.0
AL,0,0.0,0.7911351534281178,-1.8654320211035984,-1.012472587132706,0.2502480635073124,-1.644910130268131,0.20973045342615465,3.0,4.0
AL,0,0.0,0.7728397015326701,-1.7863777487185095,-1.0314350788178608,0.24131086983849662,-1.4559730641061022,0.35887372807082507,4.0,5.0
AL,0,0.0,0.8917054786311404,-1.7743861467022948,-1.6809762364793708,0.3929612825628709,-1.4639794989484436,-0.10355851573914537,5.0,6.0
AL,0,0.0,0.8586646269497109,-1.7405332573800893,-1.6504803431283095,0.3802148963168508,-1.1971775138545915,-0.1321245185550491,6.0,7.0
AL,0,0.0,0.8360815947027872,-1.6766208864656855,-1.7175357405416607,0.35624866153820944,-1.1693627511284546,0.08034252680176188,7.0,8.0
AL,0,0.0,0.8437829866564516,-1.6268246790122896,-1.7661058123462048,0.3634087948578124,-1.1711997998455732,0.414385827751667,8.0,9.0
AL,0,0.0,0.8180110051734225,-1.5799923447796953,-1.8396955434939204,0.3272384237860542,-1.2244183448713626,0.4811341752742352,9.0,10.0
AL,0,0.0,0.8260510896182978,-1.5564043236963454,-1.8203720670228614,0.3450243189521572,-1.11110386202649,0.5941984283852143,10.0,11.0
AL,0,0.0,0.7861048722433818,-1.4943549261637525,-1.8211983140294787,0.33621985100297597,-1.4061106919294573,0.8636917143411362,11.0,12.0
AL,0,0.0,0.6871048620952125,-1.3460772438286988,-1.878139715052993,0.24840313395025726,-1.246578816957986,0.53272997947698,12.0,13.0
AL,0,0.0,0.6931525375891726,-1.3336556499030525,-1.89350123910197,0.2519800944537117,-1.1022788615951324,0.5478037920296641,13.0,14.0
AL,0,0.0,0.6742425818367737,-1.2764022956101304,-2.060853813721039,0.18943554474543364,-0.9559393597110193,0.5388167105133732,14.0,15.0
AL,0,0.0,0.5477061763665123,-1.187334327287312,-1.26109068540493,0.07596390306847982,-0.2882277063206223,1.0636870601328345,15.0,16.0
AL,0,0.0,0.517003653923038,-1.1196490463359468,-1.344509659062937,0.030694797198282824,-0.22248171567384298,0.976063060941244,16.0,17.0
AL,0,0.0,0.23826149576531955,-0.6847536024049633,-1.442152752053782,-0.2679569819159019,0.6082132167045154,-0.981800250235,17.0,18.0
AL,0,0.0,0.20286979630316454,-0.6220466607982866,-1.4404855958184248,-0.2806472283517732,0.4699715483710011,-0.8538428373082144,18.0,19.0
AL,0,0.0,0.19885140416760586,-0.6135882461272697,-1.4931757765471507,-0.2866586549752422,0.6244021217538558,-0.7155099114528907,19.0,20.0
AL,0,0.0,0.11321189343385911,-0.6504771729506306,-1.7425494086122253,-0.20106602483080133,0.9846806410882757,-0.8238462457591185,20.0,21.0
AL,0,0.0,0.22889993380664087,-0.5180137911192778,-1.3184814340941977,-0.3536631987661459,0.5073864044061631,-0.515022691719421,21.0,22.0
AL,0,0.0,0.16654140635273385,-0.4784326514115255,-1.448566512836624,-0.3584884948823616,0.6832490115938655,-0.6386413424712848,22.0,23.0
AL,0,0.0,0.2054815820609324,-0.42178067304079475,-1.380581772395745,-0.39737142311626744,0.6819471533295041,-0.4725278618173674,23.0,24.0
AL,0,0.0,0.2610535093780909,-0.265348682401156,-1.1834122440872616,-0.5034764067073669,0.43404937322739073,-0.10455876615998531,24.0,25.0
AL,0,0.0,0.20569300984447342,-0.19088582189882602,-1.3878599957167181,-0.46368181925511215,0.49063606890847844,-0.21634564692162678,25.0,26.0
AL,0,0.0,0.10945317388952269,-0.24631916615030852,-1.6964638458667691,-0.3495460289326295,0.6953707671057257,-0.18256287219467204,26.0,27.0
AL,0,0.0,0.20764963791425312,-0.17725954059892257,-1.4612000063265014,-0.4299589006958427,0.6171807781962938,0.0058139512671922765,27.0,28.0
AL,0,0.0,0.11523133601730688,-0.23251065927863424,-1.796774458786001,-0.3599387757325451,0.7198009909462944,-0.1144128771215726,28.0,29.0
AL,0,0.0,0.21079451383431233,-0.179671083640212,-1.5168045844334792,-0.5347490166982679,0.15047983851261623,0.16449022530870966,29.0,30.0
AL,0,0.25,0.26490422795167273,-0.18492109398345266,-1.4200240264374877,-0.5058641081000932,0.22628344867218184,0.390193317030633,30.0,31.0
AL,0,0.25,0.21437148202290154,-0.17724596268048828,-1.6239282979030718,-0.4980170993063756,0.3476104286687343,0.3871115805768181,31.0,32.0
AL,0,0.25,0.3280368478478652,0.6308639754543559,-1.1353358834422338,1.0180784899791657,-0.49062184234277,0.1215434331472098,32.0,33.0
AL,0,0.25,0.2852756283050428,0.6805765155671292,-1.1847354177920526,0.9817159434739835,-0.5533251346969023,0.1339942710206393,33.0,34.0
AL,0,0.25,0.2360311627216896,0.6334918850705347,-1.334413875452524,1.0448881981545597,-0.3422172348626807,0.11614166144307844,34.0,35.0
AL,0,0.25,0.11037146774984928,0.6020831399095868,-1.662767203531502,1.1028612262024549,-0.16328523692698907,0.026463794727558176,35.0,36.0
AL,0,0.25,0.0825462257424093,0.6321887614152297,-1.6635765643314613,1.0865624260869646,-0.2885095921009428,0.14758835482002355,36.0,37.0
AL,0,0.25,0.00575426848519931,0.7026814158481569,-1.7924651345161668,1.0823486820024606,-0.46855789675833787,0.11110744809689248,37.0,38.0
AL,0,0.25,-0.014759813678432836,0.754094842997611,-1.778573153015946,1.0801615204333481,-0.5387084842862535,0.22747151237320018,38.0,39.0
AL,0,0.25,-0.05737492577336547,0.8162703675109196,-1.831416859517411,1.0394989914907582,-0.7049299531856261,0.2931294544122648,39.0,40.0
AL,0,0.25,-0.022613357319160393,0.7529663427637572,-1.9335714562488309,1.0209541861301747,-0.4383806990771165,0.14570459373359096,40.0,41.0
AR,0,0.0,0.9289747312193423,-1.7735906481419454,-0.9741690166711658,-0.5171184305220478,-1.5745919658178877,-0.6830902721373726,0.0,1.0
AR,0,0.0,0.9527479463783174,-1.7952864105668886,-0.8883668377371285,-0.4744842223854291,-1.4111657258438606,-0.6878626883919623,1.0,2.0
AR,0,0.0,0.9656662941266214,-1.8069507707258965,-0.8423704596205602,-0.4515952076542492,-1.323156780012067,-0.6899186193804474,2.0,3.0
AR,0,0.0,0.9878046207767986,-1.843835524790264,-0.8368367488791614,-0.40759710380515535,-1.294233901259066,-0.10338965854436644,3.0,4.0
AR,0,0.0,0.9441356851361324,-1.7377097657324598,-0.9725472671093777,-0.4615640560104687,-1.312592573709959,0.2257818925828593,4.0,5.0
AR,0,0.0,1.0472031345366872,-1.7978086807595595,-1.3724469319294412,-0.3458736288764474,-1.568410738939551,0.2847511920909977,5.0,6.0
AR,0,0.0,1.0511043390295414,-1.8232434277583824,-1.3413688289066275,-0.3174760158914671,-1.4330617997865485,0.6339834621211412,6.0,7.0
AR,0,0.0,1.022847540128386,-1.7626499201585615,-1.426450858137125,-0.3551443105614284,-1.4723550271405992,0.7724915045457511,7.0,8.0
AR,0,0.0,1.043519816383977,-1.7489914586829394,-1.4259834153558697,-0.3232303009911621,-1.4114215578423557,1.143433851265018,8.0,9.0
AR,0,0.0,0.986419266611079,-1.6301357896232371,-1.5301677127964042,-0.39768225578438293,-1.3731356448549212,1.0238359557550365,9.0,10.0
AR,0,0.0,0.9955634268143128,-1.6328997612297014,-1.5619630461519731,-0.3876538968075211,-1.4379521232960615,1.3144467387962206,10.0,11.0
AR,0,0.0,0.9714016582664299,-1.5734119953180994,-1.630326513351779,-0.41638790148052013,-1.346774816183538,1.4166395992165028,11.0,12.0
AR,0,0.0,0.9049336040783373,-1.4493699393012627,-1.62369888157917,-0.4539085515895526,-1.3550950914291096,1.3894605059919714,12.0,13.0
AR,0,0.0,0.8504905193751012,-1.3677903147943395,-1.7021950401964705,-0.5045473308210627,-1.6758290273871226,1.5169554581323947,13.0,14.0
AR,0,0.0,0.802827821934563,-1.2674682166442186,-1.720441416377104,-0.5437365144523373,-1.3403403250187036,1.328262496547307,14.0,15.0
AR,0,0.0,0.7574869547676023,-1.2095121695274054,-1.498333510790588,-0.5348748003248784,-1.4518649337776077,1.6439803042688808,15.0,16.0
AR,0,0.0,0.7362607459651443,-1.1467765326853059,-1.5489559599670015,-0.5624435084314174,-1.2920746921414075,1.5830325714438118,16.0,17.0
AR,0,0.0,0.48404578439177254,-0.761843889174302,-1.6651503421359688,-0.8415585439412131,-0.6217537346315859,-0.14008465600538375,17.0,18.0
AR,0,0.0,0.501822819655348,-0.7833927299429653,-1.6480735870675995,-0.8109644372017824,-0.5545583222685335,0.058431695497390135,18.0,19.0
AR,0,0.0,0.5034508003905734,-0.7525869098807261,-1.6745446874976153,-0.8065480502048431,-0.3931999367130538,0.218271165152931,19.0,20.0
AR,0,0.0,0.3088331317620551,-0.8087754075967777,-2.1609807896422475,-0.6556189724242021,0.13528591532064904,-0.2391474801788051,20.0,21.0
AR,0,0.0,0.4687775091497891,-0.6847823706280958,-1.7059194437623724,-0.8185149197705904,-0.24639554449693865,0.0813839760578742,21.0,22.0
AR,0,0.0,0.4050381875913728,-0.645370243150307,-1.925345954917349,-0.8358341712731885,-0.022334859071266405,-0.049431203167000594,22.0,23.0
AR,0,0.0,0.45001303613451066,-0.5458151184531098,-1.7548713778917306,-0.906635422797283,-0.09486992661056677,0.1253120436918031,23.0,24.0
