id,event,w_environment_solar_taxcred_sln,pc01,pc02,pc03,pc07,pc09,pc13,start,stop
AK,0,0.0,3.209901835634116,3.0924427305262414,1.720308244460011,3.055146797005275,1.7816121897883088,2.000799205980041,0.0,1.0
AK,0,0.0,3.2234198322812184,3.0872211662630273,1.7058361806876838,3.0607055975154696,1.80966896929411,1.978694845921243,1.0,2.0
AK,0,0.0,3.1983268765305666,3.059681713080859,1.7242931280315332,3.118584112119785,1.772899529480419,1.9466034632978413,2.0,3.0
AK,0,0.0,3.0934620302798463,2.899848405701143,1.3149699746093855,2.980117467380055,1.7544273699663022,2.881302279395363,3.0,4.0
AK,0,0.0,3.0564613999022576,2.867482920545116,1.3643239736329267,2.9828203370008746,1.716583543085137,2.6119710364184456,4.0,5.0
AK,0,0.0,3.0811636931858013,2.7908866853870253,1.6362679181577742,2.938065463087122,1.7074653436311553,1.4558301014842097,5.0,6.0
AK,0,0.0,2.900133476632492,2.511209325915945,0.7203832275881079,2.5796070080312004,1.6936927361493048,3.2456603814554987,6.0,7.0
AK,0,0.0,3.1041499237390764,2.7610510811946867,1.3158110850593576,2.922903176787814,1.758904946809461,2.0309492638181146,7.0,8.0
AK,0,0.0,2.8917949139330656,2.604481223671444,1.3377831419433859,2.7383595084165036,1.558943497445397,1.2828287926485304,8.0,9.0
AK,0,0.0,2.944122610258125,2.6427310377178244,1.335444961540355,2.806397003201622,1.6139283225850862,1.9389914090209415,9.0,10.0
AK,0,0.0,2.8840782875678554,2.6270168500433715,1.5512827536603706,2.787656351094092,1.5327629298092451,1.2497672745015127,10.0,11.0
AK,0,0.0,2.660288755039238,2.4056988110103923,1.1455947135447655,2.5518968997905778,1.410283667067605,1.95955081421133,11.0,12.0
AK,0,0.0,2.572006672470087,2.341501795131964,0.9908283125717254,2.5051500745235096,1.3601557398982382,2.2380403458858864,12.0,13.0
AK,0,0.0,2.50687207971037,2.283471594950566,0.8380847794713281,2.460684926833839,1.351444406172392,2.9118682743874618,13.0,14.0
AK,0,0.0,2.5744852005771515,2.298614284375782,0.638143009358372,2.4716864028965664,1.4057404851915003,3.6570373662597198,14.0,15.0
AK,0,0.0,2.553866043520412,2.358579636282879,0.8482418841019851,2.55158545843449,1.3714766004304428,3.2687567191034175,15.0,16.0
AK,0,0.0,2.506943606364193,2.376605564339382,1.1766633116506209,2.582337545824062,1.2958880709192795,2.0750568768875803,16.0,17.0
AK,0,0.0,2.060613111006255,2.082248076593745,1.481084057302971,2.1940391718949703,0.8709402268707218,0.34990538806785965,17.0,18.0
AK,0,0.0,2.084013225374931,2.012818917906768,0.9343655851147826,2.1085404838393744,0.9701900128155371,1.9065254378745147,18.0,19.0
AK,0,0.0,2.025512186580755,1.9817966974849939,0.8546225501393006,2.0790116139200525,0.9478025578610635,2.1269598399165406,19.0,20.0
AK,0,0.0,1.8402335077887153,2.1118023550225837,1.1091543168336186,1.001725575860858,1.0348127926640263,0.9895291956600779,20.0,21.0
AK,0,0.0,2.059363020554772,2.0274150092296015,0.9871683915045348,2.1372397817802997,1.0111185576956756,2.8044705093856686,21.0,22.0
AK,0,0.0,1.8303974720546579,1.9812952894090137,1.2489330636208098,1.6616667760398431,0.8655688603543025,1.3034695512922125,22.0,23.0
AK,0,0.0,1.801091881987316,1.90888028476419,1.4265709381659837,2.0945288873999313,0.7655743789837819,1.3560654217484287,23.0,24.0
AK,0,0.0,1.9292921353031651,1.9089947872174127,1.6994568076452508,2.844313541255469,0.7132945097224758,1.1666612829169059,24.0,25.0
AK,0,0.0,1.9549329246513667,1.9336649500315641,2.0732210010434526,2.706606717259628,0.7321194916997777,0.15437390179502797,25.0,26.0
AK,0,0.0,1.9338817752472985,2.1602499825768606,2.247775112035644,1.713433033256157,0.9600193257198536,-0.5003000258354587,26.0,27.0
AK,0,0.0,2.1179246171437205,2.1660114750735873,2.4703317707783197,2.543247596935873,0.9253826174023787,-0.23177519862104853,27.0,28.0
AK,0,0.0,2.1607094074343633,2.331674728495818,2.601507541172613,2.0730857064546577,1.0831871163651987,-0.37647511475580286,28.0,29.0
AK,0,0.0,2.067919642120146,2.047397806495243,2.406806626772907,2.7624016649698384,0.8457828347702184,0.40939006831939656,29.0,30.0
AK,0,0.0,2.1381659614180446,2.0752009457257574,2.382609730451576,2.9487596547760417,0.9270874643986289,1.2025662144643998,30.0,31.0
AK,0,0.0,2.070052242075146,2.10404088638179,2.6421522150093,2.7511982720934256,0.8980349038417592,0.38402759981097223,31.0,32.0
AK,0,0.0,2.0995218558415516,2.0521986238881795,2.677078790859248,3.122156368517501,0.8601255821078317,0.7732517764874126,32.0,33.0
AK,0,0.0,1.985123207360817,2.036099020254908,2.5461442686999693,2.6252027305364,0.8906907006348485,0.9709103356187122,33.0,34.0
AK,0,0.0,1.998359384218556,1.949395916338971,2.4536704507466336,2.9261723624260214,0.8311664548593093,1.5281107441683586,34.0,35.0
AK,0,0.0,1.8476094900961977,1.8122613529540212,1.8984510874601526,2.4693440590215383,0.8444191317173567,3.0564011909784963,35.0,36.0
AK,0,0.0,1.6510294999876536,1.9096933309186308,1.4943372061402311,1.1400712545003109,1.0293908823097415,3.6392351375489627,36.0,37.0
AK,0,0.0,1.77128186194681,1.8832925231636526,1.6643070926411925,1.968018554259325,0.9452017798956476,3.6901978046542023,37.0,38.0
AK,0,0.0,1.7978652606085437,1.9044906993656876,1.6673579152732145,1.9805694452332043,0.9757953667760755,3.883566978105404,38.0,39.0
