id,event,fgd_21_slp,start,stop
AK,0,0.0,0.0,19.0
AK,0,0.0870809375754826,19.0,20.0
AK,0,0.1191958356174446,20.0,21.0
AK,0,0.272183462238989,21.0,22.0
AK,0,0.311121004730279,22.0,23.0
AK,0,0.363658391623774,23.0,24.0
AK,0,0.363658391623774,24.0,25.0
AK,0,0.4083845707223806,25.0,26.0
AK,0,0.4154895770880186,26.0,27.0
AK,0,0.4193548354074827,27.0,41.0
AL,0,0.0,0.0,19.0
AL,0,0.0585888538320596,19.0,20.0
AL,0,0.1016629578206054,20.0,21.0
AL,0,0.1608705930390017,21.0,22.0
AL,0,0.2178601775848747,22.0,23.0
AL,0,0.230942987476342,23.0,24.0
AL,0,0.230942987476342,24.0,25.0
AL,0,0.2687495794329233,25.0,26.0
AL,0,0.3095611473767823,26.0,27.0
AL,0,0.3579374223095761,27.0,41.0
AR,0,0.0,0.0,19.0
AR,0,0.0988115570900504,19.0,20.0
AR,0,0.1346614133360753,20.0,21.0
AR,0,0.2975299003143138,21.0,22.0
AR,0,0.3146903770875442,22.0,23.0
AR,0,0.3386685686674789,23.0,24.0
AR,0,0.3386685686674789,24.0,25.0
AR,0,0.3794625069281572,25.0,26.0
AR,0,0.3940713502140733,26.0,27.0
AR,0,0.3986552496245988,27.0,41.0
AZ,0,0.0,0.0,19.0
AZ,0,0.058711594922911,19.0,20.0
AZ,0,0.0940796493246844,20.0,21.0
AZ,0,0.2929141664753618,21.0,22.0
AZ,0,0.3235358051468366,22.0,23.0
AZ,0,0.3602215971308866,23.0,24.0
AZ,0,0.3602215971308866,24.0,25.0
AZ,0,0.382816107739182,25.0,26.0
AZ,0,0.3956851569242876,26.0,27.0
AZ,0,0.3957397377508864,27.0,41.0
CA,1,0.0,0.0,18.0
CO,0,0.0,0.0,19.0
CO,1,0.115776616863735,19.0,20.0
CT,1,0.0,0.0,19.0
DE,0,0.0,0.0,19.0
DE,1,0.1416271098806637,19.0,20.0
FL,0,0.0,0.0,19.0
FL,1,0.0878028351584377,19.0,20.0
GA,0,0.0,0.0,19.0
GA,0,0.0910454437431242,19.0,20.0
GA,0,0.1431064499711656,20.0,21.0
GA,0,0.3353506190331808,21.0,22.0
GA,0,0.3598781079258045,22.0,23.0
GA,0,0.3929165405660354,23.0,24.0
GA,0,0.3929165405660354,24.0,25.0
GA,0,0.4649000858156002,25.0,26.0
GA,0,0.4803179214589462,26.0,27.0
GA,0,0.4866747473919078,27.0,41.0
HI,0,0.0,0.0,19.0
HI,0,0.0680400091858439,19.0,20.0
HI,0,0.1321193542504151,20.0,21.0
HI,0,0.2720102306026321,21.0,22.0
HI,0,0.2955968993597415,22.0,23.0
HI,1,0.306329322848036,23.0,24.0
IA,0,0.0,0.0,19.0
IA,0,0.1406316089637106,19.0,20.0
IA,0,0.1641496743198287,20.0,21.0
IA,0,0.35065766703086,21.0,22.0
IA,0,0.3713806048726819,22.0,23.0
IA,1,0.4287773564168939,23.0,24.0
ID,0,0.0,0.0,19.0
