id,event,fgd_21_slp,start,stop
NV,0,0.0994693021719503,19.0,20.0
NV,0,0.1594187445977021,20.0,21.0
NV,1,0.2965449213199285,21.0,22.0
NY,1,0.0,0.0,19.0
OH,0,0.0,0.0,19.0
OH,1,0.089716547149441,19.0,20.0
OK,0,0.0,0.0,19.0
OK,0,0.0281702663726046,19.0,20.0
OK,0,0.1093100429325032,20.0,21.0
OK,0,0.3216265420856639,21.0,22.0
OK,0,0.3589492907792579,22.0,23.0
OK,0,0.4184540250109857,23.0,24.0
OK,0,0.4184540250109857,24.0,25.0
OK,0,0.444026998084348,25.0,26.0
OK,0,0.4849780594157296,26.0,27.0
OK,0,0.5154317304571625,27.0,41.0
OR,0,0.0,0.0,19.0
OR,1,0.0575055853423558,19.0,20.0
PA,1,0.0,0.0,19.0
RI,0,0.0,0.0,19.0
RI,0,0.1063808043482159,19.0,20.0
RI,0,0.2247073451869697,20.0,21.0
RI,0,0.3294791035176819,21.0,22.0
RI,0,0.3567190106180952,22.0,23.0
RI,0,0.3801637947823573,23.0,24.0
RI,1,0.3801637947823573,24.0,25.0
SC,0,0.0,0.0,19.0
SC,0,0.0630247728700314,19.0,20.0
SC,0,0.0731721944636805,20.0,21.0
SC,0,0.3202487990730283,21.0,22.0
SC,0,0.3880980603658411,22.0,23.0
SC,0,0.4227993297918491,23.0,24.0
SC,0,0.4227993297918491,24.0,25.0
SC,0,0.494304610300384,25.0,26.0
SC,0,0.5297240309557427,26.0,27.0
SC,0,0.5518006604200811,27.0,41.0
SD,0,0.0,0.0,19.0
SD,0,0.0475915255721312,19.0,20.0
SD,0,0.131012731978135,20.0,21.0
SD,0,0.2418026016627635,21.0,22.0
SD,0,0.2746287902852978,22.0,23.0
SD,0,0.2779800252786483,23.0,24.0
SD,0,0.2779800252786483,24.0,25.0
SD,0,0.316159527962183,25.0,26.0
SD,0,0.4694171307915242,26.0,27.0
SD,0,0.4788961370649331,27.0,41.0
TN,0,0.0,0.0,19.0
TN,0,0.0336528716299013,19.0,20.0
TN,0,0.1850000975346787,20.0,21.0
TN,0,0.3651332680083415,21.0,22.0
TN,0,0.4115060004425944,22.0,23.0
TN,0,0.4293619196572602,23.0,24.0
TN,0,0.4293619196572602,24.0,25.0
TN,0,0.4524025765928386,25.0,26.0
TN,0,0.4775951074386811,26.0,27.0
TN,0,0.4871062951166186,27.0,41.0
TX,0,0.0,0.0,19.0
TX,0,0.1019540738119053,19.0,20.0
TX,0,0.1378395882131637,20.0,21.0
TX,0,0.2506124811174371,21.0,22.0
TX,0,0.3356967099399645,22.0,23.0
TX,0,0.3712717865358482,23.0,24.0
TX,1,0.3712717865358482,24.0,25.0
UT,0,0.0,0.0,19.0
UT,0,0.037508791323922,19.0,20.0
UT,0,0.0654288823348851,20.0,21.0
UT,0,0.1915242495780434,21.0,22.0
UT,0,0.2434824200855238,22.0,23.0
UT,0,0.2632560439842953,23.0,24.0
UT,0,0.2632560439842953,24.0,25.0
UT,0,0.3491055099374688,25.0,26.0
UT,0,0.3954600202752228,26.0,27.0
UT,0,0.424220613002922,27.0,41.0
VA,0,0.0,0.0,19.0
VA,1,0.0481596782981774,19.0,20.0
VT,0,0.0,0.0,19.0
VT,0,0.0484358318554767,19.0,20.0
VT,0,0.065803876162475,20.0,21.0
VT,0,0.2220486777630066,21.0,22.0
VT,0,0.3017706110877022,22.0,23.0
VT,0,0.3300784034847376,23.0,24.0
VT,0,0.3300784034847376,24.0,25.0
VT,0,0.3378320276587436,25.0,26.0
VT,0,0.3562848506843399,26.0,27.0
VT,0,0.3963803076072627,27.0,41.0
WA,0,0.0,0.0,19.0
WA,0,0.0442457785157264,19.0,20.0
WA,1,0.1218663567353993,20.0,21.0
WI,0,0.0,0.0,19.0
WI,0,0.0334001922043399,19.0,20.0
WI,0,0.0717441603403862,20.0,21.0
WI,0,0.1939842002208734,21.0,22.0
WI,0,0.2591406590455987,22.0,23.0
WI,0,0.2747299699627045,23.0,24.0
WI,0,0.2747299699627045,24.0,25.0
WI,0,0.3587540291043731,25.0,26.0
WI,0,0.3708041808803939,26.0,27.0
WI,0,0.3795265849237077,27.0,41.0
WV,0,0.0,0.0,19.0
WV,0,0.0673249757658524,19.0,20.0
WV,0,0.0905558135508594,20.0,21.0
WV,0,0.3777105565316981,21.0,22.0
WV,0,0.4132495130499347,22.0,23.0
WV,0,0.4435714092424832,23.0,24.0
WV,0,0.4435714092424832,24.0,25.0
WV,0,0.5090786382839753,25.0,26.0
WV,0,0.5260545379898558,26.0,27.0
WV,0,0.5288361521481427,27.0,41.0
WY,0,0.0,0.0,19.0
WY,0,0.0577193792397244,19.0,20.0
WY,0,0.1062796541554982,20.0,21.0
WY,0,0.3224978742165434,21.0,22.0
WY,0,0.3432235565114463,22.0,23.0
WY,0,0.3521120356293949,23.0,24.0
WY,0,0.3521120356293949,24.0,25.0
WY,0,0.4297588779877581,25.0,26.0
WY,0,0.5247973144480643,26.0,27.0
WY,0,0.531115744429962,27.0,41.0
