id,event,w_complete_streets_21_slp,start,stop
AK,0,0.1077354995532957,0.0,31.0
AK,0,0.2315006532594559,31.0,32.0
AK,0,0.305616159437837,32.0,33.0
AK,0,0.3705448510037371,33.0,34.0
AK,0,0.3705448510037371,34.0,35.0
AK,0,0.4086118282018884,35.0,36.0
AK,0,0.4753956056181637,36.0,37.0
AK,0,0.4920726462258781,37.0,38.0
AK,0,0.4920726462258781,38.0,39.0
AK,0,0.5250547790013662,39.0,40.0
AK,0,0.535209363295258,40.0,41.0
AL,0,0.0544631995742078,0.0,31.0
AL,0,0.1193742520720932,31.0,32.0
AL,0,0.1857849369741296,32.0,33.0
AL,0,0.2569924667033349,33.0,34.0
AL,0,0.2569924667033349,34.0,35.0
AL,0,0.3972526368781445,35.0,36.0
AL,0,0.4230422730016746,36.0,37.0
AL,0,0.4236101936026538,37.0,38.0
AL,0,0.4236101936026538,38.0,39.0
AL,0,0.426316398454212,39.0,40.0
AL,0,0.4280293353106467,40.0,41.0
AR,0,0.1829068901336515,0.0,31.0
AR,0,0.2736266780834389,31.0,32.0
AR,0,0.2907508384865435,32.0,33.0
AR,0,0.3718794923186373,33.0,34.0
AR,0,0.3718794923186373,34.0,35.0
AR,0,0.4546500731874349,35.0,36.0
AR,0,0.485851743975608,36.0,37.0
AR,0,0.5354816265963213,37.0,38.0
AR,0,0.5354816265963213,38.0,39.0
AR,0,0.5517883087609873,39.0,40.0
AR,0,0.5560530056032276,40.0,41.0
AZ,0,0.0649162060976839,0.0,31.0
AZ,0,0.1123927181105463,31.0,32.0
AZ,0,0.1262719760904596,32.0,33.0
AZ,0,0.1749405304221409,33.0,34.0
AZ,0,0.1749405304221409,34.0,35.0
AZ,0,0.1958576818792055,35.0,36.0
AZ,0,0.2225109347206257,36.0,37.0
AZ,0,0.2315259482328578,37.0,38.0
AZ,0,0.2315259482328578,38.0,39.0
AZ,0,0.2677623802878068,39.0,40.0
AZ,0,0.3658292068644572,40.0,41.0
CA,1,0.0380062632273791,0.0,22.0
CO,0,0.0718459312608798,0.0,29.0
CO,1,0.111934835172055,29.0,30.0
CT,0,0.0956992732250217,0.0,29.0
CT,1,0.1044621597323204,29.0,30.0
DE,0,0.1415695108774965,0.0,31.0
DE,0,0.2145426346064297,31.0,32.0
DE,0,0.226804965502699,32.0,33.0
DE,0,0.3334395160252267,33.0,34.0
DE,0,0.3334395160252267,34.0,35.0
DE,0,0.3839679229971913,35.0,36.0
DE,0,0.4670590573153197,36.0,37.0
DE,0,0.467445866033347,37.0,38.0
DE,0,0.467445866033347,38.0,39.0
DE,0,0.4678084600038626,39.0,40.0
DE,0,0.5096293701096886,40.0,41.0
FL,1,0.0057418487785071,0.0,5.0
GA,0,0.1107473345093719,0.0,31.0
GA,0,0.1841547111772833,31.0,32.0
GA,0,0.2050956817764497,32.0,33.0
GA,0,0.2867910976426586,33.0,34.0
GA,0,0.2867910976426586,34.0,35.0
GA,0,0.3022789826783083,35.0,36.0
GA,0,0.3594129680134518,36.0,37.0
GA,0,0.393773941122061,37.0,38.0
GA,0,0.393773941122061,38.0,39.0
GA,0,0.4253364745902355,39.0,40.0
GA,0,0.4636203185820164,40.0,41.0
HI,0,0.0807420811265118,0.0,31.0
HI,0,0.1325844950674909,31.0,32.0
HI,0,0.2093424727463994,32.0,33.0
HI,0,0.3059168368448157,33.0,34.0
HI,0,0.3059168368448157,34.0,35.0
HI,0,0.3629758922593906,35.0,36.0
HI,0,0.3786154006367577,36.0,37.0
HI,0,0.4293812024263285,37.0,38.0
HI,0,0.4293812024263285,38.0,39.0
HI,0,0.4304563979172845,39.0,40.0
HI,0,0.4490340932608088,40.0,41.0
IA,0,0.1868463136935407,0.0,31.0
IA,0,0.2906657417939647,31.0,32.0
IA,0,0.3707168094749544,32.0,33.0
IA,0,0.4151940299038194,33.0,34.0
IA,0,0.4151940299038194,34.0,35.0
IA,0,0.4859369113891489,35.0,36.0
IA,0,0.5479001274553941,36.0,37.0
IA,0,0.5661380868170485,37.0,38.0
IA,0,0.5661380868170485,38.0,39.0
