id,event,ghg_standards_21_slp,start,stop
AK,0,0.0718188514837384,0.0,28.0
AK,0,0.0758738213055985,28.0,29.0
AK,0,0.0854852800187787,29.0,30.0
AK,0,0.1156721724888063,30.0,41.0
AL,0,0.0306849756585092,0.0,28.0
AL,0,0.0505349005025465,28.0,29.0
AL,0,0.0832956715464541,29.0,30.0
AL,0,0.1063687878171645,30.0,41.0
AR,0,0.070908621180112,0.0,28.0
AR,0,0.1250163006228871,28.0,29.0
AR,0,0.1471757961038314,29.0,30.0
AR,0,0.177207668859338,30.0,41.0
AZ,0,0.0230997112030995,0.0,28.0
AZ,0,0.046864744373396,28.0,29.0
AZ,0,0.0479185922559481,29.0,30.0
AZ,0,0.0597215916538995,30.0,41.0
CA,0,0.0327825440531658,0.0,26.0
CA,1,0.0461656826151808,26.0,27.0
CO,0,0.028100026864831,0.0,28.0
CO,0,0.0587182871551009,28.0,29.0
CO,0,0.0620784023499619,29.0,30.0
CO,0,0.1365881287610461,30.0,41.0
CT,0,0.085452644396496,0.0,28.0
CT,0,0.1294545761754018,28.0,29.0
CT,0,0.1836196679740946,29.0,30.0
CT,0,0.222188192860671,30.0,41.0
DE,0,0.1004665661578009,0.0,28.0
DE,0,0.1234554599338567,28.0,29.0
DE,0,0.126009483909015,29.0,30.0
DE,0,0.1621096995756864,30.0,41.0
FL,0,0.0103849559090804,0.0,28.0
FL,0,0.0593484410174948,28.0,29.0
FL,0,0.0665169382360089,29.0,30.0
FL,0,0.1033513133572111,30.0,41.0
GA,0,0.0625366822721743,0.0,28.0
GA,0,0.0963028411065502,28.0,29.0
GA,0,0.1791508186276987,29.0,30.0
GA,0,0.2013048581019133,30.0,41.0
HI,0,0.00946113087198,0.0,28.0
HI,0,0.022881799308378,28.0,29.0
HI,0,0.0271502409194956,29.0,30.0
HI,0,0.097252387696321,30.0,41.0
IA,0,0.0401341909502943,0.0,28.0
IA,0,0.064613309015403,28.0,29.0
IA,0,0.0734377540844765,29.0,30.0
IA,0,0.1306808469963546,30.0,41.0
ID,0,0.0517610161897982,0.0,28.0
ID,0,0.0577410045329714,28.0,29.0
ID,0,0.0886814675580378,29.0,30.0
ID,0,0.1364190967027893,30.0,41.0
IL,0,0.0165526335205363,0.0,28.0
IL,0,0.0253186678682324,28.0,29.0
IL,1,0.0382455864608129,29.0,30.0
