id,event,ghg_standards_21_sln,pc01,pc03,pc04,pc09,pc12,pc14,start,stop
AK,0,0.0,3.209901835634116,1.720308244460011,0.7526219617507015,1.7816121897883088,-0.5949995228367511,5.265232320559496,0.0,1.0
AK,0,0.0,3.2234198322812184,1.7058361806876838,0.6431281893837288,1.80966896929411,-0.4814551873604233,5.238305346080193,1.0,2.0
AK,0,0.0,3.1983268765305666,1.7242931280315332,0.7567304924502044,1.772899529480419,-0.6132659824466647,5.278318978507458,2.0,3.0
AK,0,0.0,3.0934620302798463,1.3149699746093855,0.9753440897103862,1.7544273699663022,-0.6698636335801852,3.0937610172006864,3.0,4.0
AK,0,0.0,3.0564613999022576,1.3643239736329267,0.9525542964239299,1.716583543085137,-0.5653822019851162,3.0467900099425766,4.0,5.0
AK,0,0.0,3.0811636931858013,1.6362679181577742,0.6928393838225257,1.7074653436311553,-0.36862022895822266,3.880084621604373,5.0,6.0
AK,0,0.0,2.900133476632492,0.7203832275881079,1.1923711709402633,1.6936927361493048,-0.6023101877320932,-0.531768072981392,6.0,7.0
AK,0,0.0,3.1041499237390764,1.3158110850593576,0.9182431084791348,1.758904946809461,-0.7564219547101687,3.1419953232601094,7.0,8.0
AK,0,0.0,2.8917949139330656,1.3377831419433859,1.0585008574347912,1.558943497445397,-0.4369319125638228,1.899802834147176,8.0,9.0
AK,0,0.0,2.944122610258125,1.335444961540355,1.0641960645695008,1.6139283225850862,-0.5642428455558568,2.083132214483391,9.0,10.0
AK,0,0.0,2.8840782875678554,1.5512827536603706,0.956322648493012,1.5327629298092451,-0.26734958404052334,2.388293233954863,10.0,11.0
AK,0,0.0,2.660288755039238,1.1455947135447655,1.274434262426838,1.410283667067605,-0.23523758597856864,0.14279903102443878,11.0,12.0
AK,0,0.0,2.572006672470087,0.9908283125717254,1.3399601931560294,1.3601557398982382,0.06862559289495723,0.5677903339395615,12.0,13.0
AK,0,0.0,2.50687207971037,0.8380847794713281,1.4127399975493111,1.351444406172392,0.015937491004825787,0.3003874925275756,13.0,14.0
AK,0,0.0,2.5744852005771515,0.638143009358372,1.5447439953937412,1.4057404851915003,0.14922465319046893,-0.24207201728078856,14.0,15.0
AK,0,0.0,2.553866043520412,0.8482418841019851,1.4224332671397892,1.3714766004304428,0.25207925927041863,0.9571356370761223,15.0,16.0
AK,0,0.0,2.506943606364193,1.1766633116506209,1.212366241945144,1.2958880709192795,0.45322160798824346,2.212412103806083,16.0,17.0
AK,0,0.0,2.060613111006255,1.481084057302971,1.1732995656264333,0.8709402268707218,1.7377978796038198,0.2356257240880376,17.0,18.0
AK,0,0.0,2.084013225374931,0.9343655851147826,1.4614982281076234,0.9701900128155371,1.3510221697477907,-1.7294816429190143,18.0,19.0
AK,0,0.0,2.025512186580755,0.8546225501393006,1.4451355930364378,0.9478025578610635,1.559654475254651,-1.1307702339763994,19.0,20.0
AK,0,0.0,1.8402335077887153,1.1091543168336186,1.2015026782113092,1.0348127926640263,1.8948638306706247,-0.43425296506288613,20.0,21.0
AK,0,0.0,2.059363020554772,0.9871683915045348,1.4294465848019748,1.0111185576956756,0.9900091289537563,-1.0817845506477084,21.0,22.0
AK,0,0.0,1.8303974720546579,1.2489330636208098,1.256102290501997,0.8655688603543025,1.7828181356274633,-0.5864922462743003,22.0,23.0
AK,0,0.0,1.801091881987316,1.4265709381659837,1.184252673245287,0.7655743789837819,1.4998583745947849,0.04006426483411118,23.0,24.0
AK,0,0.0,1.9292921353031651,1.6994568076452508,1.0149616705752698,0.7132945097224758,1.2261798460489686,1.3447942369220538,24.0,25.0
AK,0,0.0,1.9549329246513667,2.0732210010434526,0.7813224638189266,0.7321194916997777,1.2783744052118267,2.491380305109467,25.0,26.0
AK,0,0.0,1.9338817752472985,2.247775112035644,0.47657107015647676,0.9600193257198536,1.554877038443506,3.2668468430951783,26.0,27.0
AK,0,0.0,2.1179246171437205,2.4703317707783197,0.45694671183432517,0.9253826174023787,1.0573687203728772,3.6896859792688375,27.0,28.0
