id,event,w_gg_rr_21_sld,pc01,pc03,pc05,pc09,pc10,pc12,start,stop
AK,0,0.0,3.209901835634116,1.720308244460011,2.4394312315930735,1.7816121897883088,-0.4459540960575375,-0.5949995228367511,0.0,1.0
AK,0,0.0,3.2234198322812184,1.7058361806876838,2.402650176548411,1.80966896929411,-0.5162209285158416,-0.4814551873604233,1.0,2.0
AK,0,0.0,3.1983268765305666,1.7242931280315332,2.4405505919570336,1.772899529480419,-0.40549954552615236,-0.6132659824466647,2.0,3.0
AK,0,0.0,3.0934620302798463,1.3149699746093855,1.9835478126181545,1.7544273699663022,-0.8020517350901689,-0.6698636335801852,3.0,4.0
AK,0,0.0,3.0564613999022576,1.3643239736329267,1.9706924088635687,1.716583543085137,-0.7871007468493015,-0.5653822019851162,4.0,5.0
AK,0,0.0,3.0811636931858013,1.6362679181577742,2.108264634225003,1.7074653436311553,-0.5569106315220033,-0.36862022895822266,5.0,6.0
AK,0,0.0,2.900133476632492,0.7203832275881079,1.1803881480563734,1.6936927361493048,-1.4286324963702284,-0.6023101877320932,6.0,7.0
AK,0,0.0,3.1041499237390764,1.3158110850593576,1.9595034955589021,1.758904946809461,-0.7065946429541416,-0.7564219547101687,7.0,8.0
AK,0,0.0,2.8917949139330656,1.3377831419433859,1.7239071162721722,1.558943497445397,-0.8250863134597409,-0.4369319125638228,8.0,9.0
AK,0,0.0,2.944122610258125,1.335444961540355,1.779974991750932,1.6139283225850862,-0.7645989033988093,-0.5642428455558568,9.0,10.0
AK,0,0.0,2.8840782875678554,1.5512827536603706,1.8432299287824234,1.5327629298092451,-0.6738514840440022,-0.26734958404052334,10.0,11.0
AK,0,0.0,2.660288755039238,1.1455947135447655,1.250763176035966,1.410283667067605,-1.109084355800921,-0.23523758597856864,11.0,12.0
AK,0,0.0,2.572006672470087,0.9908283125717254,0.945001486462065,1.3601557398982382,-1.1030483048594548,0.06862559289495723,12.0,13.0
AK,0,0.0,2.50687207971037,0.8380847794713281,0.7233768698188061,1.351444406172392,-1.2579823371790768,0.015937491004825787,13.0,14.0
AK,0,0.0,2.5744852005771515,0.638143009358372,0.6084132748150308,1.4057404851915003,-1.1570108616455477,0.14922465319046893,14.0,15.0
AK,0,0.0,2.553866043520412,0.8482418841019851,0.7518951967601649,1.3714766004304428,-1.0492488034065675,0.25207925927041863,15.0,16.0
AK,0,0.0,2.506943606364193,1.1766633116506209,0.9431365471195242,1.2958880709192795,-0.9192673649818145,0.45322160798824346,16.0,17.0
AK,0,0.0,2.060613111006255,1.481084057302971,0.48671071498095503,0.8709402268707218,-1.0911088870622017,1.7377978796038198,17.0,18.0
AK,0,0.0,2.084013225374931,0.9343655851147826,0.11598780958147378,0.9701900128155371,-1.45997871358309,1.3510221697477907,18.0,19.0
AK,0,0.0,2.025512186580755,0.8546225501393006,-0.08631532930480988,0.9478025578610635,-1.4831131854622435,1.559654475254651,19.0,20.0
AK,0,0.0,1.8402335077887153,1.1091543168336186,0.9761979134931276,1.0348127926640263,-1.9709323133974632,1.8948638306706247,20.0,21.0
AK,0,0.0,2.059363020554772,0.9871683915045348,0.19528257679457026,1.0111185576956756,-1.551371664212219,0.9900091289537563,21.0,22.0
AK,0,0.0,1.8303974720546579,1.2489330636208098,0.39574052856331404,0.8655688603543025,-1.6496269929743534,1.7828181356274633,22.0,23.0
AK,0,0.0,1.801091881987316,1.4265709381659837,0.10346869838335279,0.7655743789837819,-1.548106215466095,1.4998583745947849,23.0,24.0
AK,0,0.0,1.9292921353031651,1.6994568076452508,-0.14182307070943082,0.7132945097224758,-1.1374837744830497,1.2261798460489686,24.0,25.0
