id,event,community_solar_slp,start,stop
AK,0,0.0,0.0,30.0
AK,0,0.0105238128167709,30.0,31.0
AK,0,0.0869177388870198,31.0,32.0
AK,0,0.1175037877460783,32.0,33.0
AK,0,0.1175037877460783,33.0,34.0
AK,0,0.1393526917184278,34.0,35.0
AK,0,0.1668281739777592,35.0,36.0
AK,0,0.1668281739777592,36.0,37.0
AK,0,0.2433564827524214,37.0,38.0
AK,0,0.3128508178247907,38.0,39.0
AK,0,0.3478953155560303,39.0,40.0
AK,0,0.3725275827359771,40.0,41.0
AL,0,0.0,0.0,30.0
AL,0,0.0007611871266065,30.0,31.0
AL,0,0.0550827491127024,31.0,32.0
AL,0,0.0608691952518141,32.0,33.0
AL,0,0.0608691952518141,33.0,34.0
AL,0,0.080292886513621,34.0,35.0
AL,0,0.1588956913303612,35.0,36.0
AL,0,0.1588956913303612,36.0,37.0
AL,0,0.1974678861605832,37.0,38.0
AL,0,0.2176034766446096,38.0,39.0
AL,0,0.2808964258101337,39.0,40.0
AL,0,0.2964878859998945,40.0,41.0
AR,0,0.0,0.0,30.0
AR,0,0.0192513059146231,30.0,31.0
AR,0,0.0395289558622009,31.0,32.0
AR,0,0.0790727504823008,32.0,33.0
AR,0,0.0790727504823008,33.0,34.0
AR,0,0.1346405466570844,34.0,35.0
AR,0,0.2010036349256537,35.0,36.0
AR,0,0.2010036349256537,36.0,37.0
AR,0,0.2721914743980643,37.0,38.0
AR,0,0.3544302154740327,38.0,39.0
AR,0,0.4428290000591641,39.0,40.0
AR,0,0.4491926797350963,40.0,41.0
AZ,0,0.0,0.0,30.0
AZ,0,0.0172178638027123,30.0,31.0
AZ,0,0.0466494763514143,31.0,32.0
AZ,0,0.0737758455095538,32.0,33.0
AZ,0,0.0737758455095538,33.0,34.0
AZ,0,0.0858402488668127,34.0,35.0
AZ,0,0.1101092227928089,35.0,36.0
AZ,0,0.1101092227928089,36.0,37.0
AZ,0,0.2497203711008274,37.0,38.0
AZ,0,0.2701350611415165,38.0,39.0
AZ,0,0.2951227447614499,39.0,40.0
AZ,0,0.341840385471456,40.0,41.0
CA,0,0.0,0.0,30.0
CA,0,0.0557439119883388,30.0,31.0
CA,0,0.1058233409483072,31.0,32.0
CA,0,0.1116970405730822,32.0,33.0
CA,1,0.1116970405730822,33.0,34.0
CO,0,0.0,0.0,30.0
CO,1,0.032056765419007,30.0,31.0
CT,0,0.0,0.0,30.0
CT,0,0.0130627336823023,30.0,31.0
CT,0,0.1404553279673744,31.0,32.0
CT,0,0.2804887406200447,32.0,33.0
CT,0,0.2804887406200447,33.0,34.0
CT,0,0.2848296035720026,34.0,35.0
CT,1,0.3421972486508944,35.0,36.0
DE,0,0.0,0.0,30.0
DE,1,0.0672889753473013,30.0,31.0
FL,0,0.0,0.0,30.0
FL,0,0.0150968904562785,30.0,31.0
FL,0,0.0334383143534445,31.0,32.0
FL,0,0.0618969381197659,32.0,33.0
FL,0,0.0618969381197659,33.0,34.0
FL,0,0.0726427823492077,34.0,35.0
FL,0,0.1856326041830466,35.0,36.0
FL,0,0.1856326041830466,36.0,37.0
FL,0,0.2672168587012157,37.0,38.0
FL,0,0.2954538871488942,38.0,39.0
FL,0,0.303307424282227,39.0,40.0
FL,0,0.3314200030850264,40.0,41.0
GA,0,0.0,0.0,30.0
GA,0,0.0532998152369474,30.0,31.0
GA,0,0.0674846115654476,31.0,32.0
GA,0,0.1309246784172713,32.0,33.0
GA,0,0.1309246784172713,33.0,34.0
GA,0,0.1669518009619419,34.0,35.0
GA,0,0.2085506849013357,35.0,36.0
GA,0,0.2085506849013357,36.0,37.0
GA,0,0.3405690795322205,37.0,38.0
GA,0,0.3957437287103457,38.0,39.0
GA,0,0.4115438288156849,39.0,40.0
GA,0,0.4169324096371822,40.0,41.0
HI,0,0.0,0.0,30.0
HI,0,0.0114340085754442,30.0,31.0
HI,0,0.0224003492884265,31.0,32.0
HI,0,0.0609524390129265,32.0,33.0
HI,0,0.0609524390129265,33.0,34.0
HI,0,0.0881905857481945,34.0,35.0
HI,1,0.1315514346956852,35.0,36.0
IA,0,0.0,0.0,30.0
IA,0,0.0443585048589477,30.0,31.0
IA,0,0.0795891587858159,31.0,32.0
