stateabbr,direct,indirect,direct_treatment,direct_control,indirect_treatment,indirect_control
AL,294.36652565438,403.5420841370269,294.36652565438,166.9220057175444,7106.784937477156,6703.242853340129
AK,218.73584984814147,335.7598640919323,218.73584984814147,0.0,7205.924723149606,6870.164859057673
AZ,196.39827363978293,410.3991298499732,196.39827363978293,85.27685466455273,7195.2871342430935,6784.88800439312
AR,199.3938026192825,418.14713347948964,199.3938026192825,110.33551603512518,7177.976476502038,6759.8293430225485
CA,777.2160075252041,270.0486094087164,777.2160075252041,360.64178561075363,6779.571682855636,6509.52307344692
CO,244.90893142589061,280.8675925286843,244.90893142589061,108.36427428678621,7042.668177299571,6761.800584770886
CT,152.35057129591655,287.99201645830726,152.35057129591655,70.62644972158664,7087.530425794394,6799.538409336087
DE,29.611824775261027,294.4071173441316,29.611824775261027,17.822842745535507,7146.74913365627,6852.342016312138
FL,607.424396438365,428.847143558306,607.424396438365,320.9847923696532,6978.027210246327,6549.180066688021
GA,239.7508131622244,430.88274455715236,239.7508131622244,111.56623346570657,7189.481370149119,6758.598625591967
HI,35.358867906244086,317.23237504910776,35.358867906244086,13.708336370177134,7173.688897736604,6856.4565226874965
ID,99.76447536817977,390.21167490774405,99.76447536817977,58.968609437515425,7201.407924527902,6811.196249620158
IL,397.35387419997505,294.7793294566927,397.35387419997505,161.0806192846074,7003.8635692297585,6709.084239773066
IN,396.9436944806421,414.94610457831004,396.9436944806421,196.20625790117032,7088.9047057348125,6673.9586011565025
IA,226.50984170131824,382.7506084693787,226.50984170131824,132.8621261544833,7120.05334137257,6737.302732903191
KS,164.98139451362294,436.81689112909953,164.98139451362294,75.70751992533552,7231.274230261437,6794.457339132337
KY,230.94703144673258,438.1340691983123,230.94703144673258,103.72981354418486,7204.5691147118005,6766.435045513488
LA,603.2237035033759,389.25725552823496,603.2237035033759,371.9853461228196,6887.436768463089,6498.179512934854
ME,31.150556040081682,292.0273401639042,31.150556040081682,12.25113839885156,7149.941060822726,6857.913720658822
MD,105.77397869239303,303.7454821391948,105.77397869239303,46.601217718658916,7127.30912347821,6823.563641339015
MA,115.29102455993018,331.1533084354405,115.29102455993018,56.82625395818357,7144.49191353493,6813.3386050994895
MI,409.76679563697553,381.2469931480091,409.76679563697553,238.80102960684698,7012.6108225988355,6631.363829450826
MN,197.0098627422874,356.98182558740973,197.0098627422874,106.36911635825038,7120.777568286832,6763.795742699423
MS,213.46057009208243,420.9069086889358,213.46057009208243,112.58288278960885,7178.488884957,6757.581976268064
MO,356.6294625513019,444.8075830549378,356.6294625513019,159.8200155712186,7155.152426541392,6710.344843486454
MT,68.26343828819324,468.5297007725412,68.26343828819324,30.447212145257794,7308.247347684957,6839.717646912416
NE,139.8479197390485,213.99853723665547,139.8479197390485,43.7674454126948,7040.395950881634,6826.397413644979
NV,120.86666235816631,309.4466955307098,120.86666235816631,63.30960358035357,7116.3019510080285,6806.855255477319
NH,37.8295221863703,305.8532591717785,37.8295221863703,17.25212385838425,7158.765994371068,6852.912735199289
NJ,162.53152510151654,316.17406455778837,162.53152510151654,62.18271900403807,7124.156204611424,6807.982140053636
NM,120.08479672022077,300.04192893606887,120.08479672022077,68.7889980271406,7101.417789966601,6801.375861030532
NY,373.8860555124229,314.24314011351,373.8860555124229,153.8814221249865,7030.5265770461965,6716.2834369326865
NC,286.3227493630302,429.29853369872853,286.3227493630302,133.49132945126416,7165.972063305137,6736.673529606409
ND,202.26118734919373,367.0894773846767,202.26118734919373,133.54212751915935,7103.712208923191,6736.622731538514
OH,515.6743791318477,426.6994766004709,515.6743791318477,256.61802762676723,7040.246308031377,6613.546831430906
OK,208.16990047735703,429.87033734279066,208.16990047735703,94.05071221760753,7205.984484182857,6776.1141468400665
OR,134.09340131498482,333.6659750476383,134.09340131498482,60.482885570920985,7143.3479485343905,6809.681973486752
PA,641.9788506906207,348.11471090985106,641.9788506906207,403.15391050474057,6815.125659462784,6467.010948552933
RI,48.92132536837846,318.25777288253266,48.92132536837846,26.22008229541784,7162.202549644789,6843.944776762256
SC,193.42688768110543,468.57023798391674,193.42688768110543,94.0382281615983,7244.6968688799925,6776.126630896076
SD,54.01680847865157,453.9781263378545,54.01680847865157,23.68122944355364,7300.461755951974,6846.483629614119
TN,220.24874660690352,387.51136399976804,220.24874660690352,126.86145506874209,7130.814767988699,6743.303403988931
TX,2222.775360017449,333.0261519836049,2222.775360017449,1242.3453808942554,5960.845630147023,5627.819478163418
UT,243.86446660558408,435.68231375664163,243.86446660558408,111.91419630418282,7193.932976510132,6758.25066275349
VT,15.11278735306459,305.7750672255752,15.11278735306459,6.4762476929194355,7169.4636785903285,6863.688611364753
VA,212.95650156541979,307.43687571408555,212.95650156541979,97.26893839870925,7080.33279637305,6772.895920658964
WA,185.43429357703735,283.8299694909574,185.43429357703735,80.40034033822023,7073.59448821041,6789.764518719453
WV,227.0100961759913,388.56475895416406,227.0100961759913,121.17607832255979,7137.553539689278,6748.988780735114
WI,266.706057828088,395.9818804848337,266.706057828088,162.61684934228148,7103.529890200226,6707.548009715392
WY,118.91355083202438,450.03380211077,118.91355083202438,56.15627799276127,7264.042383175682,6814.008581064912
