stateabbr,direct,indirect,direct_treatment,direct_control,indirect_treatment,indirect_control
AL,350.59502352260506,183.02862061926498,350.59502352260506,235.76519481359327,9530.60910056613,9347.580479946864
AK,125.81315881023374,88.85621980280484,125.81315881023374,0.0,9672.201894563263,9583.345674760458
AZ,268.4445290809615,185.3238224771485,268.4445290809615,134.84733597175443,9633.822161265849,9448.4983387887
AR,200.52482895204344,138.03669768046348,200.52482895204344,128.82150694099929,9592.56086549992,9454.524167819456
CA,1047.9039448461626,130.0686463107013,1047.9039448461626,605.8212781653543,9107.593042905803,8977.524396595101
CO,276.2067805242664,107.34789351239124,276.2067805242664,148.72257320728542,9541.970995065562,9434.62310155317
CT,118.37433451039988,133.8472414761345,118.37433451039988,61.85084126659714,9655.342074969994,9521.49483349386
DE,42.04552865123492,107.1709028169953,42.04552865123492,32.115477473347404,9658.401100104104,9551.230197287108
FL,731.9156256749584,173.78183708061806,731.9156256749584,462.8215826569679,9294.305929184105,9120.524092103487
GA,401.3730850475581,165.32675625396223,401.3730850475581,233.70479696391538,9514.967634050503,9349.64087779654
HI,55.95289582048957,120.83976212072412,55.95289582048957,26.47118100973027,9677.71425587145,9556.874493750725
ID,66.3025644115628,133.58206833869008,66.3025644115628,44.27186497443076,9672.655878124715,9539.073809786025
IL,595.7527982736519,118.0798083231075,595.7527982736519,300.5962199820897,9400.829263101474,9282.749454778366
IN,538.1827667358075,152.78787152486257,538.1827667358075,320.31698383477976,9415.81656245054,9263.028690925677
IA,236.42524187732874,129.7345164490671,236.42524187732874,163.86076648473883,9549.219424724784,9419.484908275717
KS,193.4094317956808,145.63702330416345,193.4094317956808,100.93467520258355,9628.048022862038,9482.410999557875
KY,359.974410683265,151.11260907846918,359.974410683265,195.0671855286926,9539.391098310234,9388.278489231765
LA,609.9835925863772,169.63514960013345,609.9835925863772,440.7351376250285,9312.245686735561,9142.610537135428
ME,46.573508659829486,122.19761719230883,46.573508659829486,22.628799326110748,9682.914492626654,9560.716875434346
MD,170.12267746576617,137.82843802904063,170.12267746576617,96.37653605458793,9624.797576734909,9486.969138705868
MA,181.44262748725237,137.61369077713425,181.44262748725237,116.02976915532516,9604.929596382266,9467.315905605132
MI,478.0253180501941,135.80400832876148,478.0253180501941,334.65535630369936,9384.49432678552,9248.690318456758
MN,269.09138336790375,117.02224641935027,269.09138336790375,179.04356578183408,9521.324355397974,9404.302108978623
MS,204.08252753022498,134.20392026620357,204.08252753022498,124.34758617683246,9593.202008849827,9458.998088583623
MO,378.4097578611145,156.50290823271644,378.4097578611145,186.19526307582433,9553.653319917348,9397.150411684632
MT,92.17673588924583,164.8119845238325,92.17673588924583,47.89210410974002,9700.265555174548,9535.453570650716
NE,152.65761171832992,103.3802671336689,152.65761171832992,81.53590433277192,9605.190037561353,9501.809770427684
NV,127.4302945275889,101.82022027159655,127.4302945275889,80.26739148388597,9604.898503548167,9503.07828327657
NH,43.015810081648056,144.98549105374332,43.015810081648056,23.238702885123118,9705.092462929077,9560.106971875333
NJ,288.1735848326948,124.2757159282246,288.1735848326948,140.77925989917222,9566.84213078951,9442.566414861285
NM,148.45305885320636,119.21778470079516,148.45305885320636,106.5238149510021,9596.039644510249,9476.821859809454
NY,504.546343814819,144.3776205630238,504.546343814819,255.99334459185357,9471.729950731627,9327.352330168604
NC,373.8817778525199,170.01397921818716,373.8817778525199,206.07512655561044,9547.284527423033,9377.270548204846
ND,182.7363360611364,138.40923171039503,182.7363360611364,144.5785262469397,9577.176380223911,9438.767148513516
OH,627.4486583338139,157.86306706256073,627.4486583338139,366.5657804692296,9374.642961353788,9216.779894291227
OK,283.969031967571,180.5521517923662,283.969031967571,152.03805308221735,9611.859773470607,9431.307621678241
OR,124.5194502363496,140.0196016061036,124.5194502363496,65.34882881002198,9658.016447556538,9517.996845950434
PA,690.5169513106657,112.67231233942402,690.5169513106657,515.1996115440498,9180.81837555583,9068.146063216405
RI,34.283277207929984,165.12629167606428,34.283277207929984,21.0712140396805,9727.400752396841,9562.274460720777
SC,224.1350104254293,182.89365937082948,224.1350104254293,125.30155119927497,9640.937782932011,9458.044123561182
SD,49.16092580759778,182.73754228277903,49.16092580759778,22.514919765073277,9743.568297278161,9560.830754995382
TN,299.81696199765247,162.42384589838912,299.81696199765247,212.50343140562367,9533.266089253222,9370.842243354833
TX,2145.9390969303367,137.85781938027412,2145.9390969303367,1399.8087201119251,8321.394774028806,8183.536954648532
UT,200.84825609551467,155.95687727357472,200.84825609551467,98.59967786984217,9640.70287416419,9484.745996890615
VT,18.11192003437813,126.63369577803132,18.11192003437813,9.198306139280975,9700.781064399207,9574.147368621176
VA,316.95860060161704,128.8552316930818,316.95860060161704,183.3152513037925,9528.885655149745,9400.030423456663
WA,238.68923188162603,100.6984947771889,238.68923188162603,127.64915428515522,9556.395015252489,9455.6965204753
WV,285.90959482839753,136.58012771040558,285.90959482839753,184.79206603009217,9535.13373644077,9398.553608730364
WI,299.17010771071,158.65426011755153,299.17010771071,215.51163541130722,9526.4882994667,9367.834039349149
WY,176.5912203351868,155.14382847878915,176.5912203351868,101.0418202616882,9637.447682977558,9482.303854498768
