stateabbr,direct,indirect,direct_treatment,direct_control,indirect_treatment,indirect_control
AL,350.59502352260506,390.3108638162821,350.59502352260506,202.99713408465362,8384.151886210731,7993.841022394449
AK,125.81315881023374,384.31899019066077,125.81315881023374,0.0,8581.157146669764,8196.838156479103
AZ,268.4445290809615,398.8048760923766,268.4445290809615,122.46661476538073,8473.176417806098,8074.371541713722
AR,200.52482895204344,408.60536346463323,200.52482895204344,111.0362411997109,8494.407278744025,8085.801915279392
CA,1047.9039448461626,264.78200291950543,1047.9039448461626,507.84089437711316,7953.779265021496,7688.997262101991
CO,276.2067805242664,291.4603595459721,276.2067805242664,124.36765470672576,8363.93086131835,8072.470501772377
CT,118.37433451039988,302.4236649924933,118.37433451039988,53.01075929932242,8446.251062172274,8143.827397179781
DE,42.04552865123492,292.6264051662138,42.04552865123492,26.25326565006951,8463.211295995246,8170.584890829033
FL,731.9156256749584,419.1413516827188,731.9156256749584,396.151592301509,8219.827915860313,7800.686564177594
GA,401.3730850475581,418.09840249246463,401.3730850475581,201.92047789894497,8413.016081072623,7994.917678580158
HI,55.95289582048957,330.6692232935711,55.95289582048957,23.481156341489157,8504.026223431185,8173.357000137614
ID,66.3025644115628,380.62046075543276,66.3025644115628,37.59166164058425,8539.86695559395,8159.246494838518
IL,595.7527982736519,296.2978269883133,595.7527982736519,257.93168317225985,8235.204300295156,7938.906473306843
IN,538.1827667358075,404.64361699165784,538.1827667358075,277.5604048763381,8323.921368594423,7919.277751602765
IA,236.42524187732874,373.86211066487976,236.42524187732874,139.33599724401935,8431.364269899963,8057.502159235083
KS,193.4094317956808,428.04211816918723,193.4094317956808,90.88542355595344,8533.994851092337,8105.95273292315
KY,359.974410683265,424.8698061791438,359.974410683265,173.29588754434084,8448.412075113905,8023.5422689347615
LA,609.9835925863772,378.29246024270196,609.9835925863772,376.58715396929983,8198.543462752505,7820.251002509803
ME,46.573508659829486,297.4979879580742,46.573508659829486,19.58240502756682,8474.75373940961,8177.2557514515365
MD,170.12267746576617,311.4086839846286,170.12267746576617,80.62527234493025,8427.6215681188,8116.212884134172
MA,181.44262748725237,342.97808116192664,181.44262748725237,95.1177921023653,8444.698445538665,8101.720364376738
MI,478.0253180501941,368.39330741036883,478.0253180501941,283.43381759997897,8281.797646289493,7913.404338879124
MN,269.09138336790375,346.94327606802926,269.09138336790375,151.03253246831034,8392.748900078821,8045.805624010792
MS,204.08252753022498,409.1332854022994,204.08252753022498,107.04023520810333,8498.931206673298,8089.797921270999
MO,378.4097578611145,441.68186839904683,378.4097578611145,171.10204393337102,8467.417980944778,8025.736112545731
MT,92.17673588924583,467.05221611601064,92.17673588924583,43.09027147956918,8620.800101115545,8153.747884999534
NE,152.65761171832992,183.05899698066878,152.65761171832992,48.288655620235616,8331.608497839536,8148.549500858867
NV,127.4302945275889,319.99705292336876,127.4302945275889,67.18961329702823,8449.645596105443,8129.648543182075
NH,43.015810081648056,315.59327759907865,43.015810081648056,19.98951892335411,8492.441915154828,8176.8486375557495
NJ,288.1735848326948,324.4319055943706,288.1735848326948,121.74268713494241,8399.52737493853,8075.09546934416
NM,148.45305885320636,302.7651337448433,148.45305885320636,87.04212797389377,8412.561162250053,8109.7960285052095
NY,504.546343814819,319.7510837803138,504.546343814819,217.7329450099462,8298.85629524947,7979.1052114691565
NC,373.8817778525199,422.533663837743,373.8817778525199,181.2533653375997,8438.118454979245,8015.584791141502
ND,182.7363360611364,347.93530161624585,182.7363360611364,119.61398960771157,8425.159468487636,8077.2241668713905
OH,627.4486583338139,418.73913559735956,627.4486583338139,320.8489010666897,8294.728391009774,7875.989255412414
OK,283.969031967571,424.06334157801575,283.969031967571,134.5467789748704,8486.354719082248,8062.2913775042325
OR,124.5194502363496,350.0451818487418,124.5194502363496,55.573403146223285,8491.309935181622,8141.26475333288
PA,690.5169513106657,332.4704900311017,690.5169513106657,436.786566697965,8092.52207981224,7760.051589781138
RI,34.283277207929984,328.4796213033369,34.283277207929984,17.636098710355355,8507.681679072084,8179.202057768747
SC,224.1350104254293,469.13452406776196,224.1350104254293,111.26638651749077,8554.706294029374,8085.5717699616125
SD,49.16092580759778,451.8827283385381,49.16092580759778,21.24288219686086,8627.47800262078,8175.595274282243
TN,299.81696199765247,372.7218609305364,299.81696199765247,178.92691972641123,8390.633097683229,8017.911236752692
TX,2145.9390969303367,322.44397432193637,2145.9390969303367,1194.4917437787215,7324.790387022317,7002.346412700381
UT,200.84825609551467,429.17864035682214,200.84825609551467,89.6377251817155,8536.37907165421,8107.200431297388
VT,18.11192003437813,314.4482696723535,18.11192003437813,7.979976223187173,8503.30644992827,8188.8581802559165
VA,316.95860060161704,308.2113860847967,316.95860060161704,153.61034931298673,8351.439193250913,8043.227807166117
WA,238.68923188162603,286.6677438652541,238.68923188162603,107.53994948934272,8375.965950855014,8089.29820698976
WV,285.90959482839753,372.67582096184924,285.90959482839753,157.08308446373834,8412.430892977214,8039.755072015365
WI,299.17010771071,387.35784721912114,299.17010771071,184.65306135035863,8399.542942347865,8012.185095128744
WY,176.5912203351868,444.69690693001667,176.5912203351868,88.42305394556365,8553.112009463555,8108.415102533539
