stateabbr,direct,indirect,direct_treatment,direct_control,indirect_treatment,indirect_control
AL,350.59502352260506,428.48307977355216,350.59502352260506,248.17798988757292,10846.783252436087,10418.300172662535
AK,125.81315881023374,370.8062133395524,125.81315881023374,0.0,11037.284375889662,10666.47816255011
AZ,268.4445290809615,453.90611669917234,268.4445290809615,175.75149474032446,10944.632784508958,10490.726667809786
AR,200.52482895204344,438.22405317295306,200.52482895204344,139.682165389854,10965.020050333207,10526.795997160254
CA,1047.9039448461626,291.9344430877554,1047.9039448461626,685.0372472876062,10273.37535835026,9981.440915262505
CO,276.2067805242664,325.130760606251,276.2067805242664,176.99678785240465,10814.612135303954,10489.481374697703
CT,118.37433451039988,361.3451317378458,118.37433451039988,75.04223376282498,10952.78106052513,10591.435928787285
DE,42.04552865123492,333.2406174816351,42.04552865123492,30.700942352535073,10969.017837679208,10635.777220197573
FL,731.9156256749584,427.15498231892525,731.9156256749584,507.19641565951764,10586.436729209518,10159.281746890592
GA,401.3730850475581,438.50055678713034,401.3730850475581,269.74629384142554,10835.232425495813,10396.731868708683
HI,55.95289582048957,374.22021663513806,55.95289582048957,34.61577746593358,11006.082601719314,10631.862385084176
ID,66.3025644115628,425.9331976312242,66.3025644115628,46.73180186625853,11045.679558315074,10619.74636068385
IL,595.7527982736519,328.99965118213186,595.7527982736519,375.09977548920676,10620.378038243036,10291.378387060904
IN,538.1827667358075,443.69210415626185,538.1827667358075,366.98536454156283,10743.184902164809,10299.492798008547
IA,236.42524187732874,419.71990148112127,236.42524187732874,168.85338677010702,10917.344677261122,10497.624775780001
KS,193.4094317956808,447.04990779164655,193.4094317956808,126.75760431146007,10986.770466030297,10539.72055823865
KY,359.974410683265,439.58422438527305,359.974410683265,239.01413177551947,10867.048255159863,10427.46403077459
LA,609.9835925863772,438.59839975483555,609.9835925863772,445.4951307967216,10659.581431508223,10220.983031753387
ME,46.573508659829486,341.4272641012212,46.573508659829486,29.1162448235683,10978.789181827762,10637.361917726541
MD,170.12267746576617,332.57199019458676,170.12267746576617,110.73925052783079,10888.310902216866,10555.73891202228
MA,181.44262748725237,343.62471439824185,181.44262748725237,122.94796650274422,10887.154910445606,10543.530196047364
MI,478.0253180501941,425.89723579172096,478.0253180501941,343.76970817815663,10748.605690163673,10322.708454371952
MN,269.09138336790375,367.26938684460583,269.09138336790375,189.1244799843427,10844.623069410372,10477.353682565767
MS,204.08252753022498,413.54024096670764,204.08252753022498,139.09850357978644,10940.919899937031,10527.379658970323
MO,378.4097578611145,454.8120516637955,378.4097578611145,246.47728932885292,10874.812924885051,10420.000873221255
MT,92.17673588924583,486.4242542960783,92.17673588924583,60.740122377846674,11092.162294468342,10605.738040172264
NE,152.65761171832992,158.24787466623457,152.65761171832992,57.1065609855043,10767.61947623084,10609.371601564606
NV,127.4302945275889,348.19959447031397,127.4302945275889,86.1028274181264,10928.574929602297,10580.375335131983
NH,43.015810081648056,351.86537024642166,43.015810081648056,27.656514460512025,10990.68701833602,10638.821648089599
NJ,288.1735848326948,360.02018231104375,288.1735848326948,179.55045710096763,10846.947887760185,10486.927705449141
NM,148.45305885320636,332.54302420541535,148.45305885320636,105.64265352088573,10893.37853323464,10560.835509029224
NY,504.546343814819,335.37193851286065,504.546343814819,318.20231475261005,10683.64778631036,10348.275847797498
NC,373.8817778525199,459.05659124875274,373.8817778525199,247.75387251640993,10877.780881282453,10418.7242900337
ND,182.7363360611364,401.1530417582162,182.7363360611364,136.799717158538,10930.831487149788,10529.678445391572
OH,627.4486583338139,430.192201833921,627.4486583338139,424.57777956903203,10672.092584814998,10241.900382981077
OK,283.969031967571,462.64244138501454,283.969031967571,186.34741136599246,10942.77319256913,10480.130751184115
OR,124.5194502363496,358.28499466163885,124.5194502363496,79.14338785408438,10945.619769357663,10587.334774696024
PA,690.5169513106657,369.4695295769361,690.5169513106657,511.6414598027592,10524.306232324287,10154.83670274735
RI,34.283277207929984,355.29103180271886,34.283277207929984,22.972105660609635,10998.797088692218,10643.506056889499
SC,224.1350104254293,471.54808650328414,224.1350104254293,149.3429545871942,10988.683294466198,10517.135207962914
SD,49.16092580759778,481.8739134866628,49.16092580759778,31.438765313955365,11116.913310722817,10635.039397236154
TN,299.81696199765247,427.51360174494584,299.81696199765247,216.38691402305395,10877.604850272,10450.091248527055
TX,2145.9390969303367,376.27497315712935,2145.9390969303367,1497.3612801105128,9545.391855596725,9169.116882439595
UT,200.84825609551467,455.1711749673759,200.84825609551467,129.6557535212229,10991.993583996262,10536.822409028886
VT,18.11192003437813,369.01093427696105,18.11192003437813,11.493456763256148,11023.995640063815,10654.984705786854
VA,316.95860060161704,355.60712803958995,316.95860060161704,207.71264912812936,10814.372641461568,10458.765513421979
WA,238.68923188162603,327.0507924652429,238.68923188162603,152.61432653712745,10840.914628478224,10513.86383601298
WV,285.90959482839753,431.57816754711166,285.90959482839753,198.77472531736666,10899.281604779853,10467.703437232742
WI,299.17010771071,418.3435377105179,299.17010771071,215.68223985308651,10869.13946040754,10450.795922697022
WY,176.5912203351868,449.7334669486954,176.5912203351868,118.61992613520887,10997.591703363596,10547.8582364149
