stateabbr,direct,indirect,direct_treatment,direct_control,indirect_treatment,indirect_control
AL,294.36652565438,489.09515442900283,294.36652565438,59.82061470089089,2616.5751352995476,2127.4799808705448
AK,218.73584984814147,507.7172213521858,218.73584984814147,0.0,2695.017816923622,2187.300595571436
AZ,196.39827363978293,514.1796390755821,196.39827363978293,21.586374266149356,2679.893860380869,2165.7142213052866
AR,199.3938026192825,531.8790655915027,199.3938026192825,36.13593389481676,2683.043727268122,2151.1646616766193
CA,777.2160075252041,210.11453020827548,777.2160075252041,103.14156573345153,2294.2735600462597,2084.1590298379842
CO,244.90893142589061,255.64352559007193,244.90893142589061,28.697516917161018,2414.246604244347,2158.603078654275
CT,152.35057129591655,213.3450339819101,152.35057129591655,18.029837252874447,2382.6157923004716,2169.2707583185615
DE,29.611824775261027,227.78392342890265,29.611824775261027,6.702138021241061,2408.3823809790974,2180.598457550195
FL,607.424396438365,503.4687139692451,607.424396438365,104.29816503298024,2586.471144507701,2083.002430538456
GA,239.7508131622244,509.51301433854314,239.7508131622244,31.12649559091347,2665.6871143190656,2156.1740999805224
HI,35.358867906244086,290.3481674286627,35.358867906244086,3.187340905523007,2474.461422094576,2184.1132546659132
ID,99.76447536817977,503.94175604876364,99.76447536817977,20.085433753496368,2671.156917866703,2167.2151618179396
IL,397.35387419997505,254.6704678836868,397.35387419997505,38.55249416938914,2403.4185692857336,2148.748101402047
IN,396.9436944806421,535.9069825188185,396.9436944806421,58.827382122776214,2664.3801959674784,2128.47321344866
IA,226.50984170131824,464.3133423307072,226.50984170131824,47.964820311748184,2603.649117590395,2139.3357752596876
KS,164.98139451362294,518.516028993803,164.98139451362294,20.047338364416657,2685.7692862008225,2167.2532572070195
KY,230.94703144673258,572.4518358755631,230.94703144673258,28.16291299096694,2731.5895184560322,2159.137682580469
LA,603.2237035033759,475.9745664899001,603.2237035033759,144.25082126168223,2519.024340799654,2043.049774309754
ME,31.150556040081682,235.00572327616828,31.150556040081682,2.9768239610127054,2419.329494886592,2184.3237716104236
MD,105.77397869239303,235.66624644359354,105.77397869239303,12.318252304117951,2410.6485897109114,2174.982343267318
MA,115.29102455993018,292.08420657966144,115.29102455993018,17.042858665786884,2462.341943485311,2170.2577369056494
MI,409.76679563697553,532.3433097849288,409.76679563697553,85.4780153222814,2634.1658900340835,2101.8225802491547
MN,197.0098627422874,385.86906089095874,197.0098627422874,33.69402091908927,2539.4756355433055,2153.606574652347
MS,213.46057009208243,531.3793121899871,213.46057009208243,34.41613432821044,2684.263773433213,2152.884461243226
MO,356.6294625513019,515.2869234045593,356.6294625513019,41.848176666998846,2660.7393423089966,2145.4524189044373
MT,68.26343828819324,544.8159354276963,68.26343828819324,8.059081748817702,2724.0574492503147,2179.2415138226183
NE,139.8479197390485,92.28940602430612,139.8479197390485,13.662461317311989,2265.92754027843,2173.638134254124
NV,120.86666235816631,236.3491292906524,120.86666235816631,20.24608551514192,2403.4036393469464,2167.054510056294
NH,37.8295221863703,230.6939116658068,37.8295221863703,4.6893051782305735,2413.3052020590126,2182.6112903932058
NJ,162.53152510151654,254.29455359934263,162.53152510151654,14.304557324360154,2427.2905918464185,2172.996038247076
NM,120.08479672022077,219.95715996362787,120.08479672022077,23.366427251150025,2383.891328283914,2163.934168320286
NY,373.8860555124229,265.5042056660859,373.8860555124229,37.988298743356346,2414.8165024941654,2149.3122968280795
NC,286.3227493630302,556.9864886468085,286.3227493630302,36.675156268807484,2707.611927949437,2150.6254393026284
ND,202.26118734919373,438.65004219754155,202.26118734919373,54.12775948600039,2571.822878282977,2133.1728360854354
OH,515.6743791318477,520.3222259892477,515.6743791318477,77.36980944492242,2630.2530121157615,2109.930786126514
OK,208.16990047735703,571.9068673192596,208.16990047735703,25.01570099995892,2734.1917618907364,2162.284894571477
OR,134.09340131498482,241.3617795018663,134.09340131498482,16.5776630649401,2412.084712008362,2170.722932506496
PA,641.9788506906207,465.27279512222185,641.9788506906207,156.66721420367682,2495.906176489981,2030.6333813677593
RI,48.92132536837846,267.22450923529505,48.92132536837846,8.125810904933202,2446.399293901798,2179.174784666503
SC,193.42688768110543,526.9605014466897,193.42688768110543,26.73365300867845,2687.527444009447,2160.5669425627575
SD,54.01680847865157,567.1747819691882,54.01680847865157,6.034248176286134,2748.441129364338,2181.2663473951498
TN,220.24874660690352,477.54304118383834,220.24874660690352,43.87798712030021,2620.965649634974,2143.4226084511356
TX,2222.775360017449,433.220160184826,2222.775360017449,417.60050326637804,2202.920252489884,1769.7000923050582
UT,243.86446660558408,598.8287152242433,243.86446660558408,29.41750808411377,2756.7118027115657,2157.8830874873224
VT,15.11278735306459,234.05360576790144,15.11278735306459,1.6494561789258086,2419.7047451604117,2185.6511393925102
VA,212.95650156541979,236.22281975116675,212.95650156541979,27.562920345598958,2395.9604949770037,2159.737675225837
WA,185.43429357703735,260.78682432628284,185.43429357703735,20.8505251112642,2427.236894786455,2166.4500704601724
WV,227.0100961759913,477.919246385351,227.0100961759913,38.69654353430993,2626.523298422477,2148.604052037126
WI,266.706057828088,507.4629360578947,266.706057828088,63.877125839786395,2630.8864057895444,2123.4234697316497
WY,118.91355083202438,523.6417785731091,118.91355083202438,15.733325996211128,2695.209048148334,2171.567269575225
