stateabbr,direct,indirect,direct_treatment,direct_control,indirect_treatment,indirect_control
AL,294.36652565438,419.7733125806444,294.36652565438,213.81287426873794,9634.581437424931,9214.808124844287
AK,218.73584984814147,275.15003650931976,218.73584984814147,0.0,9703.771035622345,9428.620999113025
AZ,196.39827363978293,446.2841206940393,196.39827363978293,131.8028970907138,9743.10222271635,9296.818102022311
AR,199.3938026192825,430.59006680754464,199.3938026192825,146.04274681783423,9713.168319102735,9282.57825229519
CA,777.2160075252041,305.4775270636437,777.2160075252041,526.4468924171433,9207.651633759526,8902.174106695882
CO,244.90893142589061,315.5179354929078,244.90893142589061,165.29809331351166,9578.840841292422,9263.322905799514
CT,152.35057129591655,337.7083821287488,152.35057129591655,105.49615274381084,9660.833228497962,9323.124846369214
DE,29.611824775261027,316.82836678244894,29.611824775261027,22.225952409377882,9723.223413486097,9406.395046703648
FL,607.424396438365,427.3860173766552,607.424396438365,436.6067623742282,9419.400254115453,8992.014236738798
GA,239.7508131622244,427.45187719949536,239.7508131622244,161.83535572620718,9694.237520586315,9266.78564338682
HI,35.358867906244086,349.9885704138451,35.358867906244086,22.340634056531066,9756.268935470338,9406.280365056493
ID,99.76447536817977,410.4491154241641,99.76447536817977,75.67751302152331,9763.392601515665,9352.9434860915
IL,397.35387419997505,338.66221333715293,397.35387419997505,256.6000589300366,9510.68315352014,9172.020940182987
IN,396.9436944806421,431.3926346380704,396.9436944806421,277.6805377155939,9582.333096035502,9150.940461397431
IA,226.50984170131824,400.9756714298637,226.50984170131824,168.45247124866182,9661.144199294227,9260.168527864364
KS,164.98139451362294,423.5800269477131,164.98139451362294,113.23860861098977,9738.962417449748,9315.382390502034
KY,230.94703144673258,431.8543197956624,230.94703144673258,155.21085360503525,9705.264465303653,9273.41014550799
LA,603.2237035033759,444.4402525410078,603.2237035033759,455.78034256319137,9417.280909090841,8972.840656549834
ME,31.150556040081682,337.4733516821816,31.150556040081682,19.996053898977422,9746.098296896229,9408.624945214047
MD,105.77397869239303,332.19953356625047,105.77397869239303,69.91858029069232,9690.901952388582,9358.702418822331
MA,115.29102455993018,331.49434130205555,115.29102455993018,79.3260469548759,9680.789293460206,9349.29495215815
MI,409.76679563697553,414.8175849510044,409.76679563697553,304.8624977721594,9538.576086291867,9123.758501340862
MN,197.0098627422874,372.73899236922625,197.0098627422874,141.66106669477,9659.698924787479,9286.959932418253
MS,213.46057009208243,409.3760084263449,213.46057009208243,153.5114524331624,9684.485555106205,9275.10954667986
MO,356.6294625513019,433.2062806329741,356.6294625513019,245.1303646770405,9616.696915068957,9183.490634435982
MT,68.26343828819324,458.5108746701171,68.26343828819324,46.00600868033772,9841.125865102804,9382.614990432687
NE,139.8479197390485,206.15636837144848,139.8479197390485,58.45222881021779,9576.325138674256,9370.168770302807
NV,120.86666235816631,337.51002752896056,120.86666235816631,86.04515258044873,9680.085874061537,9342.575846532576
NH,37.8295221863703,350.2481633137795,37.8295221863703,25.519378421883268,9753.349784004922,9403.101620691143
NJ,162.53152510151654,338.2726039797035,162.53152510151654,101.71548666692397,9665.178116425803,9326.9055124461
NM,120.08479672022077,317.01122998103347,120.08479672022077,88.30134315544662,9657.330885938612,9340.319655957579
NY,373.8860555124229,329.66079284700936,373.8860555124229,244.32357638946314,9513.958215570568,9184.297422723559
NC,286.3227493630302,434.42662840955927,286.3227493630302,195.15795206029253,9667.889675462291,9233.463047052732
ND,202.26118734919373,400.95493751613503,202.26118734919373,158.82764330724348,9670.748293321914,9269.79335580578
OH,515.6743791318477,426.48354377480973,515.6743791318477,361.8804772725456,9493.224065615288,9066.740521840478
OK,208.16990047735703,453.1224514958649,208.16990047735703,140.43637489599308,9741.307075712895,9288.18462421703
OR,134.09340131498482,358.00238050289227,134.09340131498482,91.85326236785828,9694.770117248057,9336.767736745165
PA,641.9788506906207,384.6618085214559,641.9788506906207,495.7459727585557,9317.536834875922,8932.875026354466
RI,48.92132536837846,363.70400539757975,48.92132536837846,35.64083048401779,9756.684174026586,9392.980168629007
SC,193.42688768110543,461.4039493674718,193.42688768110543,134.14585478329047,9755.879093697205,9294.475144329734
SD,54.01680847865157,466.6339746492886,54.01680847865157,37.07933731586618,9858.175636446447,9391.541661797159
TN,220.24874660690352,417.7971935504047,220.24874660690352,162.8667043299098,9683.551488333518,9265.754294783113
TX,2222.775360017449,370.2021184791811,2222.775360017449,1628.401632582974,8170.421485009231,7800.21936653005
UT,243.86446660558408,427.30256574043415,243.86446660558408,170.45313832898563,9685.470426524473,9258.167860784039
VT,15.11278735306459,363.3092090311857,15.11278735306459,10.097678316056435,9781.832529828154,9418.523320796969
VA,212.95650156541979,350.255394097725,212.95650156541979,142.47908225218742,9636.397310958562,9286.141916860837
WA,185.43429357703735,323.1822530740392,185.43429357703735,123.29641575119986,9628.506836435865,9305.324583361826
WV,227.0100961759913,428.87531608713107,227.0100961759913,162.87698650974102,9694.619328690414,9265.744012603283
WI,266.706057828088,414.6144007506937,266.706057828088,196.66167449041902,9646.573725373299,9231.959324622605
WY,118.91355083202438,426.92157058890007,118.91355083202438,81.4019969663604,9774.140572735565,9347.219002146665
