stateabbr,direct,indirect,direct_treatment,direct_control,indirect_treatment,indirect_control
AL,350.59502352260506,94.17770226253015,350.59502352260506,49.504459150169104,1755.9536922784569,1661.7759900159267
AK,125.81315881023374,93.28664435554902,125.81315881023374,0.0,1804.5670935216447,1711.2804491660957
AZ,268.4445290809615,95.25438576738134,268.4445290809615,18.072564094456066,1788.4622708390211,1693.2078850716398
AR,200.52482895204344,116.97693470370518,200.52482895204344,23.61877200435158,1804.6386118654495,1687.6616771617444
CA,1047.9039448461626,54.42798615001789,1047.9039448461626,98.44202879473785,1667.266406521376,1612.838420371358
CO,276.2067805242664,85.24175352422526,276.2067805242664,21.849748353462257,1774.6724543368591,1689.4307008126339
CT,118.37433451039988,49.563187598394734,118.37433451039988,8.425596139334194,1752.4180406251564,1702.8548530267617
DE,42.04552865123492,57.28607712007238,42.04552865123492,7.826127501700781,1760.7403987844673,1703.454321664395
FL,731.9156256749584,119.72341561548592,731.9156256749584,83.78651566573213,1747.2173491158496,1627.4939335003637
GA,401.3730850475581,93.55637216342939,401.3730850475581,35.55985561366789,1769.2769657158574,1675.720593552428
HI,55.95289582048957,92.48855686864044,55.95289582048957,3.376273289912095,1800.3927327448241,1707.9041758761837
ID,66.3025644115628,109.13281087682958,66.3025644115628,8.288426576966343,1812.1248334659592,1702.9920225891296
IL,595.7527982736519,69.72543714636322,595.7527982736519,39.59975438091278,1741.406131931546,1671.6806947851828
IN,538.1827667358075,124.24682295825005,538.1827667358075,53.38572332881028,1782.1415487955355,1657.8947258372855
IA,236.42524187732874,68.44175605433338,236.42524187732874,34.665447961694944,1745.0567572587343,1676.6150012044009
KS,193.4094317956808,79.98849078114517,193.4094317956808,14.199845098893702,1777.0690948483475,1697.0806040672023
KY,359.974410683265,140.8625927526391,359.974410683265,28.315074118466683,1823.8279678002687,1682.9653750476295
LA,609.9835925863772,114.29427484028542,609.9835925863772,102.29938059319343,1723.2753434131876,1608.9810685729021
ME,46.573508659829486,45.86202063822611,46.573508659829486,3.042637780426091,1754.0998320238957,1708.2378113856696
MD,170.12267746576617,51.930874461805615,170.12267746576617,14.378023562101053,1748.8333000658004,1696.9024256039947
MA,181.44262748725237,91.3142704108161,181.44262748725237,20.510698645532585,1782.0840209313792,1690.769750520563
MI,478.0253180501941,135.5221456411091,478.0253180501941,70.39553625085041,1776.4070585563545,1640.8849129152454
MN,269.09138336790375,101.39412162033159,269.09138336790375,32.74014543405965,1779.9344253523677,1678.5403037320361
MS,204.08252753022498,98.66256190740455,204.08252753022498,20.62256352297112,1789.3204475505293,1690.6578856431247
MO,378.4097578611145,98.19531562225916,378.4097578611145,25.849645683587365,1783.6261191047677,1685.4308034825085
MT,92.17673588924583,136.31153626125433,92.17673588924583,6.740742516576521,1840.8512429107736,1704.5397066495193
NE,152.65761171832992,36.69177729466878,152.65761171832992,15.094567571376473,1732.8776588893882,1696.1858815947194
NV,127.4302945275889,79.76656862686855,127.4302945275889,15.47424772038143,1775.572770072583,1695.8062014457144
NH,43.015810081648056,41.02011591223027,43.015810081648056,3.479745008592146,1748.820820069734,1707.8007041575038
NJ,288.1735848326948,59.33994381495222,288.1735848326948,17.98160962164061,1752.6387833594076,1693.2988395444554
NM,148.45305885320636,46.41529377034476,148.45305885320636,22.08996302052897,1735.6057799159116,1689.1904861455669
NY,504.546343814819,83.85877680798103,504.546343814819,34.822022791514705,1760.3172031825623,1676.4584263745812
NC,373.8817778525199,129.8097963188468,373.8817778525199,30.586257704319344,1810.5039877806234,1680.6941914617767
ND,182.7363360611364,103.24963455996044,182.7363360611364,35.977650422707676,1778.5524333033484,1675.302798743388
OH,627.4486583338139,131.6306576323093,627.4486583338139,60.76693510946216,1782.144171688943,1650.5135140566338
OK,283.969031967571,137.83322076834634,283.969031967571,21.142363436133767,1827.9713064983084,1690.138085729962
OR,124.5194502363496,75.19950304596955,124.5194502363496,9.76312300264961,1776.7168292094157,1701.5173261634461
PA,690.5169513106657,110.58845239489438,690.5169513106657,120.67260766573841,1701.196293895252,1590.6078415003576
RI,34.283277207929984,73.08595677945618,34.283277207929984,3.7556366342178698,1780.6107693113343,1707.524812531878
SC,224.1350104254293,122.34886507899887,224.1350104254293,19.029506371148546,1814.5998078739462,1692.2509427949474
SD,49.16092580759778,130.54520826107455,49.16092580759778,2.910447993884505,1838.915209433286,1708.3700011722115
TN,299.81696199765247,106.36264006854935,299.81696199765247,43.4468691985212,1774.196220036124,1667.8335799675747
TX,2145.9390969303367,112.69227462565755,2145.9390969303367,265.30337906543735,1558.669344726316,1445.9770701006585
UT,200.84825609551467,145.85558584699083,200.84825609551467,13.043312471502006,1844.0927225415846,1698.2371366945938
VT,18.11192003437813,49.758220009986644,18.11192003437813,1.3171584031988954,1759.7215107728834,1709.9632907628968
VA,316.95860060161704,58.59053865466467,316.95860060161704,29.828476352462808,1740.0425114682976,1681.451972813633
WA,238.68923188162603,61.29242441660449,238.68923188162603,18.337165308437086,1754.2357082742633,1692.9432838576588
WV,285.90959482839753,69.91704947262974,285.90959482839753,33.3376600708778,1747.8598385678476,1677.942789095218
WI,299.17010771071,130.85418942854835,299.17010771071,52.18174218058509,1789.952896414059,1659.0987069855107
WY,176.5912203351868,115.49387189956406,176.5912203351868,15.442415978210478,1811.3319050874493,1695.8380331878852
