stateabbr,direct,indirect,direct_treatment,direct_control,indirect_treatment,indirect_control
AL,294.36652565438,338.3364755312796,294.36652565438,226.2356264710631,10178.041974402186,9839.705498870906
AK,218.73584984814147,187.02227709466752,218.73584984814147,0.0,10252.963402436637,10065.94112534197
AZ,196.39827363978293,357.8069861636359,196.39827363978293,140.01012933286268,10283.737982172743,9925.930996009107
AR,199.3938026192825,349.08990238702063,199.3938026192825,154.92506277470778,10260.105964954282,9911.016062567262
CA,777.2160075252041,264.7810446209005,777.2160075252041,570.0108096516739,9760.711360311197,9495.930315690297
CO,244.90893142589061,267.10522684817624,244.90893142589061,178.2987404969068,10154.74761169324,9887.642384845063
CT,152.35057129591655,301.65395944417287,152.35057129591655,113.39827444499478,10254.196810341147,9952.542850896974
DE,29.611824775261027,285.8883256051977,29.611824775261027,24.057410395501165,10327.772040551667,10041.883714946469
FL,607.424396438365,353.88882561770515,607.424396438365,463.9252333810661,9955.904717578609,9602.015891960904
GA,239.7508131622244,343.61877551396174,239.7508131622244,174.3628123687293,10235.1970884872,9891.578312973239
HI,35.358867906244086,282.81687267053167,35.358867906244086,24.40687820268145,10324.35111980982,10041.534247139289
ID,99.76447536817977,344.8989901685236,99.76447536817977,80.00350662896528,10330.836608881527,9985.937618713004
IL,397.35387419997505,278.0801475384669,397.35387419997505,278.7699200008208,10065.251352879615,9787.171205341148
IN,396.9436944806421,356.1887841370335,396.9436944806421,296.01559064305115,10126.114318835951,9769.925534698918
IA,226.50984170131824,322.2617170960202,226.50984170131824,179.50787458853154,10208.694967849458,9886.433250753438
KS,164.98139451362294,347.64988834747965,164.98139451362294,121.33423511432653,10292.256778575123,9944.606890227644
KY,230.94703144673258,340.08490782313675,230.94703144673258,165.92074759291427,10240.105285572192,9900.020377749055
LA,603.2237035033759,356.11650630707845,603.2237035033759,472.27698169743326,9949.780649951614,9593.664143644535
ME,31.150556040081682,283.5274362513828,31.150556040081682,21.67287566051298,10327.795685932839,10044.268249681456
MD,105.77397869239303,289.67234744591224,105.77397869239303,76.06705482706613,10279.546417960815,9989.874070514903
MA,115.29102455993018,284.5040141892314,115.29102455993018,85.72814890400883,10264.716990627192,9980.21297643796
MI,409.76679563697553,342.87486660755167,409.76679563697553,322.81943856318003,10085.996553386341,9743.12168677879
MN,197.0098627422874,310.03456870883565,197.0098627422874,152.3953877256643,10223.580306325139,9913.545737616303
MS,213.46057009208243,328.48810245363165,213.46057009208243,164.11179781291116,10230.31742998269,9901.829327529058
MO,356.6294625513019,346.5404257021055,356.6294625513019,260.4885899056576,10151.992961138418,9805.452535436312
MT,68.26343828819324,369.0817439234379,68.26343828819324,48.71105682533816,10386.311812440068,10017.23006851663
NE,139.8479197390485,192.5944133005778,139.8479197390485,74.04696741446958,10184.488571228077,9991.8941579275
NV,120.86666235816631,288.58882825978617,120.86666235816631,91.86507530795086,10262.664878293805,9974.076050034018
NH,37.8295221863703,287.3724444399759,37.8295221863703,27.43741261079073,10325.876157171157,10038.50371273118
NJ,162.53152510151654,292.72847485013335,162.53152510151654,111.08909712180396,10247.580503070298,9954.852028220164
NM,120.08479672022077,278.2139839704596,120.08479672022077,94.96706168557468,10249.188047626854,9970.974063656395
NY,373.8860555124229,287.5766910202692,373.8860555124229,264.5257655720241,10088.992050790213,9801.415359769944
NC,286.3227493630302,353.07198909290855,286.3227493630302,209.4319659413693,10209.58114849351,9856.5091594006
ND,202.26118734919373,318.1187817894297,202.26118734919373,169.93115316676085,10214.128753964638,9896.009972175209
OH,515.6743791318477,339.02369153356267,515.6743791318477,385.84932938397765,10019.115487491554,9680.091795957991
OK,208.16990047735703,356.67050484430183,208.16990047735703,151.302713706573,10271.308916479698,9914.638411635397
OR,134.09340131498482,308.7380040071166,134.09340131498482,98.91401324453525,10275.765116104549,9967.027112097432
PA,641.9788506906207,327.1202089925391,641.9788506906207,520.0667726311837,9872.994561703323,9545.874352710784
RI,48.92132536837846,296.41187233356504,48.92132536837846,37.83929778219605,10324.513699893336,10028.10182755977
SC,193.42688768110543,358.8728554880654,193.42688768110543,142.9181184425905,10281.895862387444,9923.023006899379
SD,54.01680847865157,371.488483504696,54.01680847865157,39.19736524913967,10398.232243597526,10026.74376009283
TN,220.24874660690352,333.0646387051456,220.24874660690352,174.27927916038905,10224.726484886725,9891.66184618158
TX,2222.775360017449,305.89860640394727,2222.775360017449,1728.1882205108736,8643.651511235043,8337.752904831095
UT,243.86446660558408,352.4836153720098,243.86446660558408,181.99036416238815,10236.434376551591,9883.950761179582
VT,15.11278735306459,307.72415121008635,15.11278735306459,10.904042368757661,10362.761234183297,10055.037082973211
VA,212.95650156541979,294.9224130194798,212.95650156541979,153.58773782529633,10207.275800536152,9912.353387516672
WA,185.43429357703735,269.3506280524507,185.43429357703735,133.06025025579788,10202.231503138622,9932.880875086172
WV,227.0100961759913,338.65375372408016,227.0100961759913,174.8462440025723,10229.748635063477,9891.094881339397
WI,266.706057828088,331.5245632135102,266.706057828088,206.83826217001825,10190.627426385463,9859.102863171953
WY,118.91355083202438,339.07783089749864,118.91355083202438,87.41043161436681,10317.608524625102,9978.530693727604
